lnRR,AEN,Env_Type,reference_ID,site_year_ID,continent,country,mean_c,sd_c,n_c,mean_t,sd_t,n_t,EDH35_total,EDH35_label,N_rate,N_rate_cluster,env_ID,Label_of_control_treatment,N_strategy,N_S,N_V,N_R,plant_density,plant_density_cluster,HY_strategy2,region_N_label
0.554678041,14.97736364,Normal,14,41,North America,USA,4.44444,,6,7.73946,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.405464564,13.93240909,Normal,14,41,North America,USA,6.13027,,6,9.1954,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.460216262,15.674,Normal,14,41,North America,USA,5.90038,,6,9.34866,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.426680167,15.84809091,Normal,14,41,North America,USA,6.55172,,6,10.0383,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.546545543,23.68522727,Normal,14,41,North America,USA,7.16475,,6,12.3755,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.580854385,26.47163636,Normal,14,41,North America,USA,7.39464,,6,13.2184,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.640780856,30.65145455,Normal,14,41,North America,USA,7.50958,,6,14.2529,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,R,,,100.0,7.85,Conventional,,RN
0.8147539,25.42663636,Normal,14,41,North America,USA,4.44444,,6,10.0383,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.454254729,16.02227273,Normal,14,41,North America,USA,6.13027,,6,9.65517,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.612019774,22.64009091,Normal,14,41,North America,USA,5.90038,,6,10.8812,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.565450197,22.64036364,Normal,14,41,North America,USA,6.55172,,6,11.5326,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.618214856,27.86477273,Normal,14,41,North America,USA,7.16475,,6,13.295,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.693148533,33.61209091,Normal,14,41,North America,USA,7.39464,,6,14.7893,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.738041526,37.26918182,Normal,14,41,North America,USA,7.50958,,6,15.7088,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,S,100.0,,,7.85,Conventional,FS,RN
0.583949057,16.02231818,Normal,14,41,North America,USA,4.44444,,6,7.96935,,6,0.0,,220.0,200_300,2016_05_20_40.47__86.99,N0,SR,25.0,,75.0,7.85,Conventional,,RN
