Country,Region/State,Mean conventional plant density (×104 plants ha-1),Conventional plant density window (×104 plants ha-1),No. of observations retained
China,North China Plain,6.18,"[5.68, 6.68]",118
China,Northeast China,5.95,"[5.45, 6.45]",61
China,Northwest China,6.70,"[6.20, 7.20]",78
China,Southwest China,4.75,"[4.25, 5.25]",61
USA,Illinois,7.86,"[7.36, 8.36]",20
USA,Indiana,7.41,"[6.91, 7.91]",28
USA,Iowa,7.77,"[7.27, 8.27]",35
USA,Kansas,5.54,"[5.04, 6.04]",49
USA,Minnesota,7.70,"[7.20, 8.20]",47
USA,Missouri,6.83,"[6.33, 7.33]",2
USA,Nebraska,6.56,"[6.06, 7.06]",4
USA,Ohio,7.43,"[6.93, 7.93]",12
USA,South Dakota,6.36,"[5.86, 6.86]",12
USA,Wisconsin,7.43,"[6.93, 7.93]",74
USA,Oklahoma/Kentucky/ Alabama,7.20,"[6.70, 7.70]",79
