env_ID,country,site_year_ID,EDH35_total,EDH35_label,plant_density,plant_density_3cluster,N_rate,region_N_label,mean_c,sd_c,n_c,mean_t,sd_t,n_t,lnRR,Effect,AEN,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,4.44444,NA,6,7.73946,NA,6,0.554678041,74.13802414,14.97736364,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,6.13027,NA,6,9.1954,NA,6,0.405464564,49.99991844,13.93240909,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,5.90038,NA,6,9.34866,NA,6,0.460216262,58.44165969,15.674,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,6.55172,NA,6,10.0383,NA,6,0.426680167,53.21625466,15.84809091,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,7.16475,NA,6,12.3755,NA,6,0.546545543,72.72758994,23.68522727,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,7.39464,NA,6,13.2184,NA,6,0.580854385,78.75650471,26.47163636,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,7.50958,NA,6,14.2529,NA,6,0.640780856,89.79623361,30.65145455,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,4.44444,NA,6,10.0383,NA,6,0.8147539,125.8619759,25.42663636,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,6.13027,NA,6,9.65517,NA,6,0.454254729,57.49991436,16.02227273,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,5.90038,NA,6,10.8812,NA,6,0.612019774,84.41524105,22.64009091,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,6.55172,NA,6,11.5326,NA,6,0.565450197,76.02400591,22.64036364,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,7.16475,NA,6,13.295,NA,6,0.618214856,85.56125475,27.86477273,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,7.39464,NA,6,14.7893,NA,6,0.693148533,100.0002705,33.61209091,
2016_05_20_40.47__86.99,USA,41,0.0,None,7.85,Conventional,220.0,RN,7.50958,NA,6,15.7088,NA,6,0.738041526,109.1834696,37.26918182,
