col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"model: lnRR ~ env_group * plant_density + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,,,
(Intercept),1,661,606.1809,<.0001,,,,,,,,,,,
env_group,2,661,6.8521,0.0011,,,,,,,,,,,
plant_density,2,661,5.7443,0.0034,,,,,,,,,,,
"ns(Nc, df = 4)",1,661,8.8177,0.0031,,,,,,,,,,,
env_group:plant_density,4,661,5.1929,0.0004,,,,,,,,,,,
env_group,plant_density,estimate_model,SE,df,lower.CL,upper.CL,metric,response_estimate,response_lwr,response_upr,k,n_ref,n_sy,,
Normal,Conventional,0.543162792285016,0.0388888592687852,147,0.4663093332531,0.620016251316932,lnRR,72.1442827332482,59.4100031237404,85.8958252120582,106,18,35,,
PFR,Conventional,0.421686727669836,0.0362451879768236,147,0.350057779902865,0.493315675436807,lnRR,52.4530856533246,41.914954454721,63.773743327631,87,20,33,,
GFR,Conventional,0.393552200432551,0.0403466082027918,147,0.313817889401245,0.473286511463858,lnRR,48.2236655107207,36.864046991556,60.5261242844112,67,14,23,,
Normal,High,0.483367201326703,0.0292756379169337,147,0.425511710536099,0.541222692117306,lnRR,62.1525221917576,53.0373327491046,71.8106293465984,207,44,80,,
PFR,High,0.434299560280347,0.0256464983712799,147,0.383616095942494,0.4849830246182,lnRR,54.3881284362625,46.758192286542,62.4147438087357,261,54,98,,
GFR,High,0.495287865981446,0.0349214955623285,147,0.426274843254733,0.56430088870816,lnRR,64.0970550670653,53.1541651185297,75.8218162780187,130,26,38,,
Normal,Low,0.555217862533644,0.0386618154970385,147,0.478813094966031,0.631622630101256,lnRR,74.2320529793295,61.4157413216641,88.0659719853332,86,18,53,,
PFR,Low,0.321405607506331,0.032554797030355,147,0.257069733250617,0.385741481762045,lnRR,37.9064826514327,29.3135298143172,47.0704417751055,105,20,49,,
GFR,Low,0.382921062336051,0.0488568408531753,147,0.286368546074608,0.479473578597493,lnRR,46.6562258500368,33.1583114561343,61.5223889923108,17,7,7,,
contrast,g1,g2,plant_density,estimate,SE,df,t.ratio,p.value,p_lab,response_difference,,,,,
Normal - PFR,Normal,PFR,Conventional,0.12147606461518,0.0475418785675252,661,2.55513808615374,0.0291490428795789,0.029,19.6911970799236,,,,,
Normal - GFR,Normal,GFR,Conventional,0.149610591852465,0.0519043604268036,661,2.88242819335859,0.011344274313752,0.011,23.9206172225275,,,,,
PFR - GFR,PFR,GFR,Conventional,0.0281345272372846,0.0493136782649265,661,0.570521774630931,0.835869341194278,0.836,4.22942014260384,,,,,
Normal - PFR,Normal,PFR,High,0.0490676410463555,0.0326335611620547,661,1.5035944377229,0.289865472066514,0.29,7.76439375549509,,,,,
Normal - GFR,Normal,GFR,High,-0.0119206646547438,0.0415304021538667,661,-0.287034655011976,0.955603372973294,0.956,-1.94453287530764,,,,,
PFR - GFR,PFR,GFR,High,-0.0609883057010993,0.0381187796565476,661,-1.59995430731538,0.246358134469972,0.246,-9.70892663080274,,,,,
Normal - PFR,Normal,PFR,Low,0.233812255027313,0.0457916140442295,661,5.1060059774586,1.28790197151396e-06,<0.001,36.3255703278968,,,,,
Normal - GFR,Normal,GFR,Low,0.172296800197593,0.0584345462606961,661,2.94854347681454,0.00925611827239581,0.009,27.5758271292927,,,,,
PFR - GFR,PFR,GFR,Low,-0.06151545482972,0.0550497405658827,661,-1.11745222043507,0.503615695143658,0.504,-8.74974319860411,,,,,
