col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"model: AEN ~ env_group * plant_density + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,,,
(Intercept),1,664,799.389111875137,0,,,,,,,,,,,
env_group,2,664,9.12847918832231,0.000122765139737524,,,,,,,,,,,
plant_density,2,664,15.2933289615149,3.2108891967475e-07,,,,,,,,,,,
Nc,1,664,45.5374192684448,3.26556559571145e-11,,,,,,,,,,,
env_group:plant_density,4,664,2.20209049118563,0.0672876536283427,,,,,,,,,,,
env_group,plant_density,estimate_model,SE,df,lower.CL,upper.CL,metric,response_estimate,response_lwr,response_upr,k,n_ref,n_sy,,
Normal,Conventional,21.3362886908245,1.49112911212857,146,18.3893021496309,24.2832752320181,AEN,21.3362886908245,18.3893021496309,24.2832752320181,101,18,35,,
PFR,Conventional,16.5496972499783,1.32573775153855,146,13.9295812055941,19.1698132943625,AEN,16.5496972499783,13.9295812055941,19.1698132943625,90,20,34,,
GFR,Conventional,15.8846247418429,1.49851608065635,146,12.9230389974988,18.846210486187,AEN,15.8846247418429,12.9230389974988,18.846210486187,66,14,22,,
Normal,High,20.9695559357887,1.08019638012173,146,18.8347145138271,23.1043973577502,AEN,20.9695559357887,18.8347145138271,23.1043973577502,208,44,82,,
PFR,High,18.1298561058913,0.94261213540877,146,16.2669287081088,19.9927835036739,AEN,18.1298561058913,16.2669287081088,19.9927835036739,265,53,95,,
GFR,High,20.1578329600292,1.27982263865002,146,17.6284610494824,22.6872048705759,AEN,20.1578329600292,17.6284610494824,22.6872048705759,130,26,38,,
Normal,Low,19.1652848799709,1.46411284753764,146,16.2716918159049,22.0588779440369,AEN,19.1652848799709,16.2716918159049,22.0588779440369,90,18,54,,
PFR,Low,12.0705529041016,1.25843763427689,146,9.5834451540212,14.5576606541821,AEN,12.0705529041016,9.5834451540212,14.5576606541821,98,20,46,,
GFR,Low,14.34100906603,1.9187516147881,146,10.5488926498987,18.1331254821613,AEN,14.34100906603,10.5488926498987,18.1331254821613,18,7,8,,
contrast,g1,g2,plant_density,estimate,SE,df,t.ratio,p.value,p_lab,response_difference,,,,,
Normal - PFR,Normal,PFR,Conventional,4.78659144084619,1.80474991106544,664,2.65221868775182,0.0222749745291977,0.022,4.78659144084619,,,,,
Normal - GFR,Normal,GFR,Conventional,5.45166394898159,1.97713702256343,664,2.75735261985702,0.0164731732674769,0.016,5.45166394898159,,,,,
PFR - GFR,PFR,GFR,Conventional,0.665072508135405,1.83534297342832,664,0.362369604899015,0.930188569744519,0.93,0.665072508135404,,,,,
Normal - PFR,Normal,PFR,High,2.83969982989734,1.23624425716506,664,2.29703783329138,0.056896103614851,0.057,2.83969982989734,,,,,
Normal - GFR,Normal,GFR,High,0.811722975759492,1.54816841720389,664,0.524311804025513,0.859469984825255,0.859,0.811722975759494,,,,,
PFR - GFR,PFR,GFR,High,-2.02797685413785,1.42295468636974,664,-1.42518723439581,0.328477935252534,0.328,-2.02797685413785,,,,,
Normal - PFR,Normal,PFR,Low,7.09473197586926,1.78116625312665,664,3.98319469808908,0.00022263033516623,<0.001,7.09473197586926,,,,,
Normal - GFR,Normal,GFR,Low,4.82427581394087,2.28171840732024,664,2.11431691065101,0.0877012316785606,0.088,4.82427581394087,,,,,
PFR - GFR,PFR,GFR,Low,-2.27045616192839,2.17676486956652,664,-1.04304153088456,0.549959998995616,0.55,-2.27045616192839,,,,,
