col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"model: lnRR ~ env_group * plant_density + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,,,
(Intercept),1,398,447.8735,<.0001,,,,,,,,,,,
env_group,2,398,11.2424,<.0001,,,,,,,,,,,
plant_density,2,398,0.9562,0.3852,,,,,,,,,,,
"ns(Nc, df = 4)",1,398,5.7681,0.0168,,,,,,,,,,,
env_group:plant_density,4,398,2.1202,0.0776,,,,,,,,,,,
env_group,plant_density,estimate_model,SE,df,lower.CL,upper.CL,metric,response_estimate,response_lwr,response_upr,k,n_ref,n_sy,,
Normal,Conventional,0.469214969226108,0.0382419128234406,114,0.393458034463008,0.544971903989208,lnRR,59.8738641425514,48.2097085426947,72.4559928441397,49,11,23,,
PFR,Conventional,0.353807673619358,0.0427335749491131,114,0.26915279078019,0.438462556458525,lnRR,42.4481194820328,30.8855106762537,55.0321852978714,60,12,24,,
GFR,Conventional,0.375084255441101,0.0449606308780186,114,0.286017591959611,0.464150918922592,lnRR,45.5114010726261,33.1115871982975,59.0663013474265,39,8,14,,
Normal,High,0.469909785634213,0.0285422700410035,114,0.413367768516238,0.526451802752188,lnRR,59.9849857266642,51.1900953271725,69.2914843566533,121,34,57,,
PFR,High,0.367638691539208,0.0261197842666447,114,0.315895600082194,0.419381782996222,lnRR,44.4320099616921,37.1487065014769,52.1020943886895,198,43,73,,
GFR,High,0.423532490574738,0.0392914659734345,114,0.345696399105184,0.501368582044292,lnRR,52.7347377551001,41.2973570651323,65.0979225773204,73,16,24,,
Normal,Low,0.522471029998212,0.0345736207395174,114,0.45398095360009,0.590961106396335,lnRR,68.6189129932866,57.4568007337464,80.5723073664858,59,15,45,,
PFR,Low,0.30880365916072,0.0341077883379917,114,0.241236393162168,0.376370925159272,lnRR,36.1794968286292,27.2821886137829,45.6987466861525,93,18,45,,
GFR,Low,0.295433543741211,0.0877657776657621,114,0.121570214159475,0.469296873322947,lnRR,34.3708788958117,12.9268653790907,59.8869590032562,6,4,4,,
contrast,g1,g2,plant_density,estimate,SE,df,t.ratio,p.value,metric,p_lab,response_difference,,,,
Normal - PFR,Normal,PFR,Conventional,0.115407295606751,0.0503753386747823,399,2.29094828228963,0.0582166986413786,lnRR,0.058,17.4257446605187,,,,
Normal - GFR,Normal,GFR,Conventional,0.094130713785007,0.0546380926514712,399,1.72280380256781,0.19791227042227,lnRR,0.198,14.3624630699254,,,,
PFR - GFR,PFR,GFR,Conventional,-0.0212765818217437,0.0585682179958042,399,-0.36327862704083,0.929855562603979,lnRR,0.93,-3.06328159059328,,,,
Normal - PFR,Normal,PFR,High,0.102271094095005,0.0320152494238718,399,3.19444939319285,0.00430632844178402,lnRR,0.004,15.5529757649722,,,,
Normal - GFR,Normal,GFR,High,0.046377295059475,0.0442948853470024,399,1.04701241906733,0.547664213816391,lnRR,0.548,7.25024797156413,,,,
PFR - GFR,PFR,GFR,High,-0.05589379903553,0.0408206165791736,399,-1.369254159283,0.358073617205225,lnRR,0.358,-8.30272779340804,,,,
Normal - PFR,Normal,PFR,Low,0.213667370837493,0.04308411695313,399,4.9593071866817,3.13242712479678e-06,lnRR,<0.001,32.4394161646574,,,,
Normal - GFR,Normal,GFR,Low,0.227037486257001,0.0884815949237454,175,2.56592895339042,0.0297939499917362,lnRR,0.03,34.2480340974749,,,,
PFR - GFR,PFR,GFR,Low,0.0133701154195087,0.0884722381169492,175,0.151122156555315,0.987489240994967,lnRR,0.987,1.80861793281748,,,,
