col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"model: lnRR ~ env_group * plant_density + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,,,
(Intercept),1,256,239.17067,<.0001,,,,,,,,,,,
env_group,2,67,0.16282,0.8501,,,,,,,,,,,
plant_density,2,256,3.82263,0.0231,,,,,,,,,,,
"ns(Nc, df = 4)",1,256,4.03378,0.0456,,,,,,,,,,,
env_group:plant_density,4,256,1.6486,0.1625,,,,,,,,,,,
env_group,plant_density,estimate_model,SE,df,lower.CL,upper.CL,metric,response_estimate,response_lwr,response_upr,k,n_ref,n_sy,,
Normal,Conventional,0.710966623017274,0.0945707642549526,33,0.518560956449098,0.90337228958545,lnRR,103.595831196064,67.9608879432433,146.79116065654,58,7,13,,
PFR,Conventional,0.638091287272408,0.0743014930337143,33,0.486923763071991,0.789258811472825,lnRR,89.286449453074,62.7302544102564,120.176389918388,30,8,9,,
GFR,Conventional,0.574943103560166,0.0828404095940889,33,0.406403022994023,0.743483184126308,lnRR,77.7029417390349,50.1407532298353,110.324877312736,27,5,7,,
Normal,High,0.580453327605211,0.0736844532396206,33,0.430541180305012,0.730365474905409,lnRR,78.6848274823168,53.8089682197384,107.583913616605,82,10,24,,
PFR,High,0.653087159706613,0.0637396259904726,33,0.523407915575297,0.782766403837928,lnRR,92.1463546961802,68.7769636470219,118.751545384148,65,12,24,,
GFR,High,0.728961965497767,0.0732555999085686,33,0.579922326859956,0.878001604135578,lnRR,107.292771998761,78.5899708924467,140.608658527686,54,9,13,,
Normal,Low,0.62196530243645,0.126970778459401,33,0.363641311331747,0.880289293541153,lnRR,86.2584989983656,43.8558127107474,141.159726502538,30,4,10,,
PFR,Low,0.48986004638461,0.0843248904896284,33,0.318299766727721,0.661420326041499,lnRR,63.2087787384292,37.4788315259005,93.7542322817254,7,2,2,,
GFR,Low,0.619000870551036,0.083121843467529,33,0.449888208464159,0.788113532637913,lnRR,85.7071659633726,56.813687126178,119.924370902637,13,3,5,,
contrast,g1,g2,plant_density,estimate,SE,df,t.ratio,p.value,metric,p_lab,response_difference,,,,
Normal - PFR,Normal,PFR,Conventional,0.072875335744866,0.113638208753324,67,0.641292541869058,0.797898113526197,lnRR,0.798,14.3093817429896,,,,
Normal - GFR,Normal,GFR,Conventional,0.136023519457108,0.121933078078366,67,1.1155588098062,0.507922906576221,lnRR,0.508,25.8928894570286,,,,
PFR - GFR,PFR,GFR,Conventional,0.0631481837122423,0.0988222015840669,67,0.639008063977636,0.799174923733077,lnRR,0.799,11.583507714039,,,,
Normal - PFR,Normal,PFR,High,-0.0726338321014018,0.0823142583122038,67,-0.882396726772587,0.653215144119855,lnRR,0.653,-13.4615272138634,,,,
Normal - GFR,Normal,GFR,High,-0.148508637892556,0.0969725206809561,67,-1.53145073315312,0.282864496774009,lnRR,0.283,-28.6079445164438,,,,
PFR - GFR,PFR,GFR,High,-0.0758748057911546,0.0876135730896879,67,-0.866016567016202,0.663447832351675,lnRR,0.663,-15.1464173025804,,,,
Normal - PFR,Normal,PFR,Low,0.13210525605184,0.150578203086346,67,0.877319913135677,0.65638944540218,lnRR,0.656,23.0497202599365,,,,
Normal - GFR,Normal,GFR,Low,0.00296443188541415,0.147713348543572,67,0.0200688151385297,0.999777973822043,lnRR,1,0.551333034993021,,,,
PFR - GFR,PFR,GFR,Low,-0.129140824166426,0.110705809191979,67,-1.16652256199562,0.477176542832333,lnRR,0.477,-22.4983872249434,,,,
