col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"model: AEN ~ env_group * plant_density + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,,,
(Intercept),1,257,297.85046,<.0001,,,,,,,,,,,
env_group,2,66,0.04491,0.9561,,,,,,,,,,,
plant_density,2,257,6.89894,0.0012,,,,,,,,,,,
"ns(Nc, df = 4)",1,257,26.50608,<.0001,,,,,,,,,,,
env_group:plant_density,4,257,1.89061,0.1125,,,,,,,,,,,
env_group,plant_density,estimate_model,SE,df,lower.CL,upper.CL,metric,response_estimate,response_lwr,response_upr,k,n_ref,n_sy,,
Normal,Conventional,27.1804741615062,3.04342515763708,33,20.9885791216514,33.372369201361,AEN,27.1804741615062,20.9885791216514,33.372369201361,55,7,13,,
PFR,Conventional,23.4383450961684,2.47322611344114,33,18.4065287343212,28.4701614580156,AEN,23.4383450961684,18.4065287343212,28.4701614580156,32,8,10,,
GFR,Conventional,20.0746453257963,2.68415643612397,33,14.613687995755,25.5356026558376,AEN,20.0746453257963,14.613687995755,25.5356026558376,28,6,8,,
Normal,High,22.7302816808997,2.50129468013386,33,17.6413593907387,27.8192039710607,AEN,22.7302816808997,17.6413593907387,27.8192039710607,81,9,22,,
PFR,High,23.7768537440272,2.14599841001723,33,19.4107871505451,28.1429203375092,AEN,23.7768537440272,19.4107871505451,28.1429203375092,61,11,23,,
GFR,High,25.5901032948216,2.39086586027174,33,20.7258501279493,30.4543564616938,AEN,25.5901032948216,20.7258501279493,30.4543564616938,53,9,13,,
Normal,Low,20.2936218122091,4.10826663180216,33,11.9352905038069,28.6519531206113,AEN,20.2936218122091,11.9352905038069,28.6519531206113,34,4,10,,
PFR,Low,15.9679806656166,2.87057678810595,33,10.127748277712,21.8082130535211,AEN,15.9679806656166,10.127748277712,21.8082130535211,9,2,2,,
GFR,Low,20.6225603498166,2.82574694208591,33,14.8735349694221,26.3715857302111,AEN,20.6225603498166,14.8735349694221,26.3715857302111,13,3,5,,
contrast,g1,g2,plant_density,estimate,SE,df,t.ratio,p.value,metric,p_lab,response_difference,,,,
Normal - PFR,Normal,PFR,Conventional,3.74212906533778,3.66899123746059,66,1.01993404266831,0.56701847988094,AEN,0.567,3.74212906533778,,,,
Normal - GFR,Normal,GFR,Conventional,7.10582883570987,3.86223394189454,66,1.83982351732538,0.164711106117469,AEN,0.165,7.10582883570986,,,,
PFR - GFR,PFR,GFR,Conventional,3.36369977037208,3.17339121027834,66,1.059970091137,0.542125683940601,AEN,0.542,3.36369977037208,,,,
Normal - PFR,Normal,PFR,High,-1.04657206312746,2.81005738378524,66,-0.372437968408209,0.926479435827747,AEN,0.926,-1.04657206312746,,,,
Normal - GFR,Normal,GFR,High,-2.85982161392188,3.2566814350118,66,-0.878139809186316,0.655903345285447,AEN,0.656,-2.85982161392188,,,,
PFR - GFR,PFR,GFR,High,-1.81324955079442,2.90454328593268,66,-0.624280436644333,0.807355099951937,AEN,0.807,-1.81324955079442,,,,
Normal - PFR,Normal,PFR,Low,4.32564114659254,4.94798799254945,66,0.874222240051104,0.6583511063975,AEN,0.658,4.32564114659254,,,,
Normal - GFR,Normal,GFR,Low,-0.328938537607508,4.83319027695696,66,-0.068058263539877,0.997449666867307,AEN,0.997,-0.328938537607506,,,,
PFR - GFR,PFR,GFR,Low,-4.65457968420005,3.78127040003541,66,-1.23095658119463,0.439361119149572,AEN,0.439,-4.65457968420005,,,,
