"model: lnRR ~ env_group * N_strategy + Nc, random = ~ 1 | reference_ID/site_year_ID",Col_W,Col_X,Col_Y,Col_Z,Col_AA,Col_AB,Col_AC,Col_AD,Col_AE,Col_AF,Col_AG,Col_AH,Col_AI,Col_AJ,Col_AK,Col_AL
,numDF,denDF,F-value,p-value,,,,,,,,,,,,
(Intercept),1,596,613.5206,<.0001,,,,,,,,,,,,
env_group,2,596,7.8001,0.0005,,,,,,,,,,,,
N_strategy,3,596,1.1062,0.346,,,,,,,,,,,,
Nc,1,596,14.0781,0.0002,,,,,,,,,,,,
env_group:N_strategy ,6,596,0.9643,0.4486,,,,,,,,,,,,
N_strategy,env_group,emmean,SE,df,lower.CL,upper.CL,lnRR,lnRR_lwr,lnRR_upr,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
S,Normal,0.5305132182792,0.0302776274828685,146,0.470674160772023,0.590352275786377,0.5305132182792,0.470674160772023,0.590352275786377,69.9804455516179,60.107321021249,80.4624028784537,186,27,79,n=186
SR,Normal,0.503606584637546,0.0458741123770662,146,0.412943481982783,0.594269687292309,0.503606584637546,0.412943481982783,0.594269687292309,65.4678259241207,51.1259610123586,81.1707348799991,33,9,16,n=33
SV,Normal,0.566270024714693,0.032135654746271,146,0.502758863099373,0.629781186330012,0.566270024714693,0.502758863099373,0.629781186330012,76.168374445287,65.3276147226346,87.7199777348863,91,23,59,n=91
SVR,Normal,0.582404759913742,0.0378356644603693,146,0.507628408868822,0.657181110958662,0.582404759913742,0.507628408868822,0.657181110958662,79.0338592729046,66.1346484586076,92.9346049336375,71,20,35,n=71
S,PFR,0.438192735798038,0.03200600973621,146,0.374937797534992,0.501447674061083,0.438192735798038,0.374937797534992,0.501447674061083,54.9903600541487,45.4900913380375,65.1109810213875,157,28,53,n=157
SR,PFR,0.415258171594277,0.0527884970432308,146,0.310929854850349,0.519586488338204,0.415258171594277,0.310929854850349,0.519586488338204,51.4761758673195,36.4693491199536,68.1332255436999,65,14,28,n=65
SV,PFR,0.40565202342891,0.0311832735508093,146,0.344023096250758,0.467280950607062,0.40565202342891,0.344023096250758,0.467280950607062,50.0280399185754,41.0611214961788,59.5649639182783,141,33,76,n=141
SVR,PFR,0.447492693175494,0.0376720247758609,146,0.373039750709971,0.521945635641017,0.447492693175494,0.373039750709971,0.521945635641017,56.4384871192954,45.214206236347,68.5303448365259,58,21,34,n=58
S,GFR,0.481209842729252,0.0363899405538012,146,0.40929074184482,0.553128943613684,0.481209842729252,0.40929074184482,0.553128943613684,61.8030781275189,50.5749441220987,73.8684762207905,127,22,49,n=127
SR,GFR,0.442095908002869,0.052379445937868,146,0.338576017633532,0.545615798372205,0.442095908002869,0.338576017633532,0.545615798372205,55.5964962770298,40.2948393717166,72.5670720470458,43,8,16,n=43
SV,GFR,0.548635456829594,0.0456626716645293,146,0.458390234108258,0.63888067955093,0.548635456829594,0.458390234108258,0.63888067955093,73.0889532205118,58.1526048064639,89.4359297062177,30,11,21,n=30
SVR,GFR,0.541906045985225,0.0588303054636004,146,0.425637027423812,0.658175064546638,0.541906045985225,0.425637027423812,0.658175064546638,71.9280769292715,53.0565121130725,93.1264683123068,32,7,12,n=32
env_group,df1,df2,F.ratio,p.value,note,p_lab,,,,,,,,,,
Normal,3,596,1.038,0.375205173959458, d,P=0.375,,,,,,,,,,
PFR,3,596,0.65,0.583166686661942, d,P=0.583,,,,,,,,,,
GFR,3,596,1.406,0.239889164641542, d,P=0.240,,,,,,,,,,
