col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14
"model: AEN ~ env_group * N_strategy + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,
(Intercept),1,599,808.1256,<.0001,,,,,,,,,
env_group,2,599,10.7647,<.0001,,,,,,,,,
N_strategy,3,599,2.2702,0.0793,,,,,,,,,
Nc,1,599,46.8802,<.0001,,,,,,,,,
env_group:N_strategy ,6,599,1.5632,0.1555,,,,,,,,,
N_strategy,env_group,emmean,SE,df,lower.CL,upper.CL,AEN,AEN_lwr,AEN_upr,k,n_ref,n_sy,n_lab
S,Normal,20.3227338130136,1.12126380808696,145,18.1066012372859,22.5388663887413,20.3227338130136,18.1066012372859,22.5388663887413,190,27,77,n=190
SR,Normal,19.2988363204125,1.78288596288766,145,15.7750343099792,22.8226383308459,19.2988363204125,15.7750343099792,22.8226383308459,33,9,17,n=33
SV,Normal,22.1680067824274,1.21663645318741,145,19.7633740302774,24.5726395345775,22.1680067824274,19.7633740302774,24.5726395345775,91,21,60,n=91
SVR,Normal,23.9293571355269,1.47706220666284,145,21.0100034125644,26.8487108584893,23.9293571355269,21.0100034125644,26.8487108584893,67,20,34,n=67
S,PFR,17.2350283398051,1.18980749451674,145,14.8834219395752,19.586634740035,17.2350283398051,14.8834219395752,19.586634740035,158,28,53,n=158
SR,PFR,16.8831639570413,1.93534338761855,145,13.0580360116043,20.7082919024784,16.8831639570413,13.0580360116043,20.7082919024784,69,14,28,n=69
SV,PFR,15.5779151275551,1.16330379442729,145,13.2786922188121,17.8771380362981,15.5779151275551,13.2786922188121,17.8771380362981,137,33,72,n=137
SVR,PFR,18.3795764161181,1.43520270569583,145,15.5429563041289,21.2161965281072,18.3795764161181,15.5429563041289,21.2161965281072,57,21,33,n=57
S,GFR,19.1628562586509,1.31524475539417,145,16.5633281846493,21.7623843326525,19.1628562586509,16.5633281846493,21.7623843326525,122,22,49,n=122
SR,GFR,15.515744523986,2.08319251182469,145,11.3983987631848,19.6330902847872,15.515744523986,11.3983987631848,19.6330902847872,48,8,16,n=48
SV,GFR,21.6888474570176,1.7071464679848,145,18.314741495554,25.0629534184811,21.6888474570176,18.314741495554,25.0629534184811,30,11,23,n=30
SVR,GFR,21.4555365462456,2.25784150507566,145,16.9930041126293,25.9180689798618,21.4555365462456,16.9930041126293,25.9180689798618,32,7,13,n=32
env_group,df1,df2,F.ratio,p.value,note,p_lab,,,,,,,
Normal,3,599,2.06,0.104342836171587, d,P=0.104,,,,,,,
PFR,3,599,1.231,0.297426826203011, d,P=0.297,,,,,,,
GFR,3,599,2.277,0.0786060869442497, d,P=0.079,,,,,,,
