"model: lnRR ~ env_group * N_strategy + Nc, random = ~ 1 | reference_ID/site_year_ID",Col_BD,Col_BE,Col_BF,Col_BG,Col_BH,Col_BI,Col_BJ,Col_BK,Col_BL,Col_BM,Col_BN,Col_BO,Col_BP,Col_BQ,Col_BR,Col_BS
,numDF,denDF,F-value,p-value,,,,,,,,,,,,
(Intercept),1,345,443.5663,<.0001,,,,,,,,,,,,
env_group,2,345,13.0914,<.0001,,,,,,,,,,,,
N_strategy,3,345,1.6107,0.0678,,,,,,,,,,,,
Nc,1,345,3.3568,0.0002,,,,,,,,,,,,
env_group:N_strategy ,6,345,1.1006,0.3616,,,,,,,,,,,,
N_strategy,env_group,emmean,SE,df,lower.CL,upper.CL,lnRR,lnRR_lwr,lnRR_upr,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
S,Normal,0.509032376453767,0.0413956779582639,112,0.427012146889566,0.591052606017967,0.509032376453767,0.427012146889566,0.591052606017967,66.3680599325111,53.2671278799714,80.5888304202023,39,12,20,n=39
SR,Normal,0.486501525135626,0.0618349609805566,112,0.363983476274775,0.609019573996477,0.486501525135626,0.363983476274775,0.609019573996477,62.6615580275801,43.905043548761,83.862787623524,19,8,15,n=19
SV,Normal,0.519394353366818,0.0331736500315692,112,0.453665018197696,0.58512368853594,0.519394353366818,0.453665018197696,0.58512368853594,68.1009243744126,57.4070624135089,79.5213019178158,77,21,54,n=77
SVR,Normal,0.537470185814985,0.0341803766316374,112,0.469746150935202,0.605194220694768,0.537470185814985,0.469746150935202,0.605194220694768,71.1671170243163,59.958808773466,83.1607910503269,70,19,34,n=70
S,PFR,0.352427374592797,0.0352916506385191,112,0.282501492717174,0.42235325646842,0.352427374592797,0.282501492717174,0.42235325646842,42.2516341168512,32.6443755100645,52.5547338973233,81,13,24,n=81
SR,PFR,0.391617347786448,0.0458607986365577,112,0.300750053960255,0.482484641612641,0.391617347786448,0.300750053960255,0.482484641612641,47.9371518295533,35.0871654317781,62.0094760408078,66,14,28,n=66
SV,PFR,0.328027155526964,0.0304528828870878,112,0.26768867169276,0.388365639361169,0.328027155526964,0.26768867169276,0.388365639361169,38.8226669804327,30.6940189193802,47.4568846141923,126,30,69,n=126
SVR,PFR,0.394834470346826,0.0352975067208254,112,0.324896985394776,0.464771955298876,0.394834470346826,0.324896985394776,0.464771955298876,48.4138501655605,38.3888077953558,59.1651179879926,51,20,31,n=51
S,GFR,0.387163492939671,0.0445159653696383,112,0.29896081384426,0.475366172035082,0.387163492939671,0.29896081384426,0.475366172035082,47.2797263544472,34.845678160013,60.8603115132923,32,9,13,n=32
SR,GFR,0.377055466050991,0.0500969823856235,112,0.277794717141762,0.47631621496022,0.377055466050991,0.277794717141762,0.47631621496022,45.798517580864,32.0215151849703,61.0132083319513,48,8,16,n=48
SV,GFR,0.344181229026667,0.0683345661939551,112,0.208785045588165,0.479577412465168,0.344181229026667,0.208785045588165,0.479577412465168,41.0834296466722,23.2180107511243,61.5391613574307,10,5,6,n=10
SVR,GFR,0.525120159019927,0.0610650133563936,112,0.404127662680524,0.646112655359331,0.525120159019927,0.404127662680524,0.646112655359331,69.0661984461612,49.7995172830851,90.810891620038,26,6,11,n=26
env_group,df1,df2,F.ratio,p.value,note,p_lab,,,,,,,,,,
Normal,3,345,0.326,0.806837092396907, d,P=0.807,,,,,,,,,,
PFR,3,345,1.191,0.313027934371521, d,P=0.313,,,,,,,,,,
GFR,3,345,2.383,0.0691787904554483, d,P=0.069,,,,,,,,,,
