col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14
"model: AEN ~ env_group * N_strategy + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,
(Intercept),1,251,361.1585,<.0001,,,,,,,,,
env_group,2,95,0.6092,0.5459,,,,,,,,,
N_strategy,1,251,2.4461,0.1191,,,,,,,,,
Nc,1,251,26.9773,<.0001,,,,,,,,,
env_group:N_strategy ,2,251,0.0042,0.9958,,,,,,,,,
N_strategy,env_group,emmean,SE,df,lower.CL,upper.CL,AEN,AEN_lwr,AEN_upr,k,n_ref,n_sy,n_lab
S,Normal,24.9224159355063,1.75134318935094,34,21.3632583550168,28.4815735159957,24.9224159355063,21.3632583550168,28.4815735159957,149,15,57,n=149
SS,Normal,26.5556687967421,2.20027068138631,34,22.084180785482,31.0271568080022,26.5556687967421,22.084180785482,31.0271568080022,27,3,6,n=27
S,PFR,23.6467198567174,2.03841031898651,34,19.5041716782205,27.7892680352143,23.6467198567174,19.5041716782205,27.7892680352143,85,15,29,n=85
SS,PFR,25.1965968684685,3.16551083662765,34,18.7635048515462,31.6296888853908,25.1965968684685,18.7635048515462,31.6296888853908,12,3,4,n=12
S,GFR,25.2313650059403,1.9471179368283,34,21.274345269827,29.1883847420537,25.2313650059403,21.274345269827,29.1883847420537,88,12,35,n=88
SS,GFR,26.63977680742,2.37955074371826,34,21.8039478738557,31.4756057409843,26.63977680742,21.8039478738557,31.4756057409843,26,6,18,n=26
env_group,df1,df2,F.ratio,p.value,p_lab,,,,,,,,
Normal,1,251,1.264,0.262042208214105,P=0.262,,,,,,,,
PFR,1,251,0.309,0.578735111430761,P=0.579,,,,,,,,
GFR,1,251,0.498,0.480977513051879,P=0.481,,,,,,,,
