env_ID,lat,lon,sowing_date,harvest_date,Duration,R1_date
2005_04_10_42.08_0.65,42.08,0.65,2005/4/10,2005/9/28,171,
2005_04_10_42.08_0.65,42.08,0.65,2005/4/10,2005/9/28,171,
2005_04_10_42.08_0.65,42.08,0.65,2005/4/10,2005/9/28,171,
2005_04_10_42.08_0.65,42.08,0.65,2005/4/10,2005/9/28,171,
2005_04_10_42.08_0.65,42.08,0.65,2005/4/10,2005/9/28,171,
2006_04_12_42.08_0.65,42.08,0.65,2006/4/12,2006/10/2,173,
2006_04_12_42.08_0.65,42.08,0.65,2006/4/12,2006/10/2,173,
2006_04_12_42.08_0.65,42.08,0.65,2006/4/12,2006/10/2,173,
2006_04_12_42.08_0.65,42.08,0.65,2006/4/12,2006/10/2,173,
2006_04_12_42.08_0.65,42.08,0.65,2006/4/12,2006/10/2,173,
2007_04_13_42.08_0.65,42.08,0.65,2007/4/13,2007/10/3,173,
2007_04_13_42.08_0.65,42.08,0.65,2007/4/13,2007/10/3,173,
2007_04_13_42.08_0.65,42.08,0.65,2007/4/13,2007/10/3,173,
2007_04_13_42.08_0.65,42.08,0.65,2007/4/13,2007/10/3,173,
2007_04_13_42.08_0.65,42.08,0.65,2007/4/13,2007/10/3,173,
2010_04_09_42.08_0.65,42.08,0.65,2010/4/9,2010/9/28,172,
2010_04_09_42.08_0.65,42.08,0.65,2010/4/9,2010/9/28,172,
2010_04_09_42.08_0.65,42.08,0.65,2010/4/9,2010/9/28,172,
2010_04_09_42.08_0.65,42.08,0.65,2010/4/9,2010/9/28,172,
2010_04_09_42.08_0.65,42.08,0.65,2010/4/9,2010/9/28,172,
2011_04_11_42.08_0.65,42.08,0.65,2011/4/11,2011/9/25,167,
2011_04_11_42.08_0.65,42.08,0.65,2011/4/11,2011/9/25,167,
2011_04_11_42.08_0.65,42.08,0.65,2011/4/11,2011/9/25,167,
2011_04_11_42.08_0.65,42.08,0.65,2011/4/11,2011/9/25,167,
2011_04_11_42.08_0.65,42.08,0.65,2011/4/11,2011/9/25,167,
2012_04_10_42.08_0.65,42.08,0.65,2012/4/10,2012/9/26,169,
2012_04_10_42.08_0.65,42.08,0.65,2012/4/10,2012/9/26,169,
2012_04_10_42.08_0.65,42.08,0.65,2012/4/10,2012/9/26,169,
2012_04_10_42.08_0.65,42.08,0.65,2012/4/10,2012/9/26,169,
2012_04_10_42.08_0.65,42.08,0.65,2012/4/10,2012/9/26,169,
2013_04_09_42.08_0.65,42.08,0.65,2013/4/9,2013/9/28,172,
2013_04_09_42.08_0.65,42.08,0.65,2013/4/9,2013/9/28,172,
2013_04_09_42.08_0.65,42.08,0.65,2013/4/9,2013/9/28,172,
2013_04_09_42.08_0.65,42.08,0.65,2013/4/9,2013/9/28,172,
2013_04_09_42.08_0.65,42.08,0.65,2013/4/9,2013/9/28,172,
2014_04_13_42.08_0.65,42.08,0.65,2014/4/13,2014/9/27,167,
2014_04_13_42.08_0.65,42.08,0.65,2014/4/13,2014/9/27,167,
2014_04_13_42.08_0.65,42.08,0.65,2014/4/13,2014/9/27,167,
2014_04_13_42.08_0.65,42.08,0.65,2014/4/13,2014/9/27,167,
2014_04_13_42.08_0.65,42.08,0.65,2014/4/13,2014/9/27,167,
2014_04_13_42.08_0.65,42.08,0.65,2014/4/13,2014/9/27,167,
2015_04_09_42.08_0.65,42.08,0.65,2015/4/9,2015/9/26,170,
2015_04_09_42.08_0.65,42.08,0.65,2015/4/9,2015/9/26,170,
2015_04_09_42.08_0.65,42.08,0.65,2015/4/9,2015/9/26,170,
2015_04_09_42.08_0.65,42.08,0.65,2015/4/9,2015/9/26,170,
2015_04_09_42.08_0.65,42.08,0.65,2015/4/9,2015/9/26,170,
2015_04_09_42.08_0.65,42.08,0.65,2015/4/9,2015/9/26,170,
1996_11_20_13_12,13,12,1996/11/20,1997/3/7,107,1997/1/29
1996_11_20_13_12,13,12,1996/11/20,1997/3/7,107,1997/1/29
1996_11_20_13_12,13,12,1996/11/20,1997/3/7,107,1997/1/29
1996_11_20_13_12,13,12,1996/11/20,1997/3/7,107,1997/1/29
1997_11_22_13_12,13,12,1997/11/22,1998/3/10,108,1998/1/31
1997_11_22_13_12,13,12,1997/11/22,1998/3/10,108,1998/1/31
1997_11_22_13_12,13,12,1997/11/22,1998/3/10,108,1998/1/31
1997_11_22_13_12,13,12,1997/11/22,1998/3/10,108,1998/1/31
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
2004_05_20_45.37__75.72,45.37,-75.72,2004/5/20,2004/10/24,,
