"lnRR","Env_Type"
"0.672944473","PFR"
"0.823377677","PFR"
"0.905321701","PFR"
"0.874710874","PFR"
"0.886768293","PFR"
"0.550474956","GFR"
"0.6187942","GFR"
"0.665703973","GFR"
"0.710511468","GFR"
"0.746627572","GFR"
"0.597976801","GFR"
"0.675118335","GFR"
"0.679235697","GFR"
"0.727350161","GFR"
"0.761971528","GFR"
"0.895204839","Normal"
"1.092657358","Normal"
"1.096914495","Normal"
"1.172962568","Normal"
"1.184704385","Normal"
"0.644925233","GFR"
"0.894959259","GFR"
"0.983429038","GFR"
"1.008875162","GFR"
"1.098087519","GFR"
"0.542626864","GFR"
"0.694959418","GFR"
"0.746112184","GFR"
"0.772609764","GFR"
"0.794768063","GFR"
"0.591106724","Normal"
"0.771948683","Normal"
"0.89989173","Normal"
"0.9391411","Normal"
"0.973525156","Normal"
"0.793163683","Normal"
"1.094894543","Normal"
"1.286227706","Normal"
"1.313179408","Normal"
"1.352282708","Normal"
"1.449665032","Normal"
"0.684918252","PFR"
"0.875418362","PFR"
"0.970412492","PFR"
"1.000174598","PFR"
"1.063286341","PFR"
"1.087456453","PFR"
"0.324440289","PFR"
"0.434352474","PFR"
"0.524945078","PFR"
"0.491026362","PFR"
"0.624568474","GFR"
"1.006995914","GFR"
"1.336395463","GFR"
"1.3172719","GFR"
"0.140357358","Normal"
"0.346913885","Normal"
"0.32825497","Normal"
"0.339846718","Normal"
"0.353931458","Normal"
"0.070494599","Normal"
"0.096211487","Normal"
"0.052689974","Normal"
"0.102742122","Normal"
"0.097242548","Normal"
"0.105892289","Normal"
"0.176096548","Normal"
"0.200263405","Normal"
"0.258999146","Normal"
"0.270172447","Normal"
"0.031541495","Normal"
"0.071420861","Normal"
"0.069361128","Normal"
"0.138079047","Normal"
"0.208848311","Normal"
"0.231623623","Normal"
"0.236728279","Normal"
"0.298909135","Normal"
"0.302729579","Normal"
"0.279364076","GFR"
"0.323013021","GFR"
"0.201742751","GFR"
"0.380203938","GFR"
"0.290426001","GFR"
"0.386263561","GFR"
"0.512613968","GFR"
"0.598665823","GFR"
"0.415157391","GFR"
"0.54884084","GFR"
"0.584094678","GFR"
"0.627607896","GFR"
"0.099186869","GFR"
"0.201548882","GFR"
"0.496790665","GFR"
"0.304953223","GFR"
"0.385947283","GFR"
"0.374764132","GFR"
"0.446169475","GFR"
"0.474432847","GFR"
"0.427832402","GFR"
"0.436641091","GFR"
"0.475698759","GFR"
"0.786000617","GFR"
"0.758133369","GFR"
"0.913554569","GFR"
"0.045595654","GFR"
"0.708359114","GFR"
"0.976864389","GFR"
"0.059787918","GFR"
"0.174418755","GFR"
"0.227090646","GFR"
"0.312298948","GFR"
"0.264411271","GFR"
"0.409528592","GFR"
"0.443576268","GFR"
"0.249919523","GFR"
"0.079305966","GFR"
"0.400058198","GFR"
"0.448226456","GFR"
"0.055337708","GFR"
"0.773686684","GFR"
"1.011992347","GFR"
"0.751184479","GFR"
"0.864589357","GFR"
"0.821402513","GFR"
"0.892054518","GFR"
"0.268245797","GFR"
"0.424454959","GFR"
"0.478202763","GFR"
"0.530118827","GFR"
"0.561645708","GFR"
"0.268237796","GFR"
"0.42438075","GFR"
"0.478151556","GFR"
"0.530051897","GFR"
"0.561606766","GFR"
"0.384657713","Normal"
"0.571133489","Normal"
"0.685398022","Normal"
"0.742820702","Normal"
"0.991193318","Normal"
"1.041455698","Normal"
"0.97839724","Normal"
"1.18238193","Normal"
"1.419709531","Normal"
"0.710936722","PFR"
"0.955511445","PFR"
"0.450040733","PFR"
"0.481735243","PFR"
"0.271779959","Normal"
"0.382004492","Normal"
"0.35273411","Normal"
"0.299170869","Normal"
"0.559172931","Normal"
"0.629443778","Normal"
"0.099235441","Normal"
"0.17623218","Normal"
"0.599791611","PFR"
"0.560857253","PFR"
"0.602175402","PFR"
"0.571257363","PFR"
"0.566616983","PFR"
"0.568939865","PFR"
"0.57614509","PFR"
"0.557231997","PFR"
"0.566733256","PFR"
"0.632960547","PFR"
"0.62047599","PFR"
"0.679029299","PFR"
"0.415221283","PFR"
"0.377630309","PFR"
"0.424883194","PFR"
"0.193614215","PFR"
"0.182935242","PFR"
"0.175236975","PFR"
"0.821625505","Normal"
"0.963395201","Normal"
"0.884321366","Normal"
"0.721004135","Normal"
"0.926523908","Normal"
"0.917432936","Normal"
"0.688217014","Normal"
"0.466595249","Normal"
"0.377029829","Normal"
"0.51228844","Normal"
"0.192020308","Normal"
"0.250942377","Normal"
"0.357592422","PFR"
"0.490529249","PFR"
"0.332341779","PFR"
"0.453806975","PFR"
"0.554678041","Normal"
"0.405464564","Normal"
"0.460216262","Normal"
"0.426680167","Normal"
"0.546545543","Normal"
"0.580854385","Normal"
"0.640780856","Normal"
"0.8147539","Normal"
"0.454254729","Normal"
"0.612019774","Normal"
"0.565450197","Normal"
"0.618214856","Normal"
"0.693148533","Normal"
"0.738041526","Normal"
"0.583949057","Normal"
"0.405464564","Normal"
"0.516007771","Normal"
"0.521299118","Normal"
"0.580029785","Normal"
"0.592377641","Normal"
"0.754970649","Normal"
"0.866810479","Normal"
"0.470003425","Normal"
"0.615533426","Normal"
"0.581918942","Normal"
"0.571010496","Normal"
"0.650809089","Normal"
"0.764519952","Normal"
"0.050870897","GFR"
"0.090903757","GFR"
"0.09230512","GFR"
"0.094837808","GFR"
"0.16144241","GFR"
"0.171498955","GFR"
"0.101666585","GFR"
"0.121071153","GFR"
"0.168610204","GFR"
"0.191688181","GFR"
"0.231559746","GFR"
"0.227185808","GFR"
"0.384078678","GFR"
"0.059384407","GFR"
"0.105184334","GFR"
"0.120463625","GFR"
"0.300667639","GFR"
"0.230325786","Normal"
"0.431230559","Normal"
"0.14447275","Normal"
"0.540534789","Normal"
"0.223953156","Normal"
"0.398698764","Normal"
"0.466967342","Normal"
"0.175417055","Normal"
"0.257373419","Normal"
"0.281674004","Normal"
"0.833418531","GFR"
"0.903527007","GFR"
"0.83775827","GFR"
"0.945909835","GFR"
"0.780240472","GFR"
"0.714130372","GFR"
"0.571450246","GFR"
"0.614871985","GFR"
"0.721862151","GFR"
"0.728229611","GFR"
"0.612184129","GFR"
"0.627418812","GFR"
"0.719779795","GFR"
"0.79346703","GFR"
"0.657766779","GFR"
"0.652643079","GFR"
"0.646340607","GFR"
"0.795026916","GFR"
"0.418688441","GFR"
"0.567564014","GFR"
"0.407477424","GFR"
"0.594665431","GFR"
"0.554548821","GFR"
"0.742853778","GFR"
"0.231329136","Normal"
"0.41907076","Normal"
"0.488664052","Normal"
"0.545822466","Normal"
"0.592342482","Normal"
"0.186877373","GFR"
"0.175448678","GFR"
"0.163887855","GFR"
"0.27388875","GFR"
"0.242140052","GFR"
"0.216671037","Normal"
"0.405465108","Normal"
"0.457833094","Normal"
"0.573345981","Normal"
"0.545694449","Normal"
"0.545694449","Normal"
"0.106380404","Normal"
"0.168622712","Normal"
"0.168622712","Normal"
"0.447014111","Normal"
"0.577634294","Normal"
"0.607787332","Normal"
"0.558056131","Normal"
"0.176930708","Normal"
"0.334934957","Normal"
"0.387381433","Normal"
"0.423227564","Normal"
"0.289358352","Normal"
"0.501385169","Normal"
"0.29277346","PFR"
"0.380207505","PFR"
"0.087313223","PFR"
"0.103035711","PFR"
"0.115281811","PFR"
"0.165521773","Normal"
"0.688118376","Normal"
"0.080621305","Normal"
"0.031483171","PFR"
"0.432452904","PFR"
"0.038008559","PFR"
"0.0922027","PFR"
"0.150898073","PFR"
"0.146001235","PFR"
"0.217589172","PFR"
"0.263546493","PFR"
"0.291520711","PFR"
"0.226938622","Normal"
"0.234485828","Normal"
"0.258261093","Normal"
"0.295491223","Normal"
"0.300663648","Normal"
"0.308372466","Normal"
"0.283608747","Normal"
"0.26714747","Normal"
"0.324593994","Normal"
"0.197537656","Normal"
"0.472439794","Normal"
"0.729168229","Normal"
"0.268572786","Normal"
"0.448036976","Normal"
"0.421930598","Normal"
"0.307006857","Normal"
"0.602797426","Normal"
"0.915666324","Normal"
"0.221808751","Normal"
"0.349441337","Normal"
"0.576599747","Normal"
"0.285505706","Normal"
"0.336472237","Normal"
"0.358776143","Normal"
"0.380596066","Normal"
"0.44333475","Normal"
"0.336471775","Normal"
"0.28051476","Normal"
"0.125162799","Normal"
"0.712692558","Normal"
"0.719123702","Normal"
"0.615916982","Normal"
"0.679543061","Normal"
"0.612178118","Normal"
"0.510825624","Normal"
"0.778304989","Normal"
"0.730887509","Normal"
"0.730887509","Normal"
"0.951558871","Normal"
"0.672944473","Normal"
"1.01523068","Normal"
"1.029619417","Normal"
"0.672944473","Normal"
"1.071583616","Normal"
"1.124929597","Normal"
"0.428995605","Normal"
"0.538996501","Normal"
"0.559615788","Normal"
"0.46536325","Normal"
"0.595983432","Normal"
"0.645744942","Normal"
"0.762140052","Normal"
"1.019362917","Normal"
"1.223775432","Normal"
"0.817444897","Normal"
"1.137078569","Normal"
"1.309921382","Normal"
"0.666478934","Normal"
"1.182695406","Normal"
"1.544197391","Normal"
"0.693147181","Normal"
"1.304056263","Normal"
"1.619909212","Normal"
"0.69314718","Normal"
"0.85105021","Normal"
"0.947381319","Normal"
"0.679901954","Normal"
"0.85105021","Normal"
"0.947381319","Normal"
"0.666478933","Normal"
"0.53680111","Normal"
"0.884202417","Normal"
"0.563094052","Normal"
"0.534923175","Normal"
"0.840304825","Normal"
"0.071095922","Normal"
"0.051293294","Normal"
"0.146603474","Normal"
"0.080852097","Normal"
"0.082691716","Normal"
"0.173663494","Normal"
"0.082691716","Normal"
"0.098440073","Normal"
"0.157628944","PFR"
"0.237671652","PFR"
"0.266109587","PFR"
"0.266109587","PFR"
"0.099529595","Normal"
"0.045462374","Normal"
"0.088947486","Normal"
"0.333144447","Normal"
"0.397682968","Normal"
"0.472906389","Normal"
"0.443492504","Normal"
"0.102947969","PFR"
"0.145507584","PFR"
"0.155870371","PFR"
"0.176279242","PFR"
"0.041964199","Normal"
"0.273293335","Normal"
"0.205852054","Normal"
"0.133531393","Normal"
"0.209720531","Normal"
"0.360002734","Normal"
"0.360002734","Normal"
"0.324496046","Normal"
"0.197168065","PFR"
"0.218002152","PFR"
"0.268263987","PFR"
"0.15415068","PFR"
"0.722705983","GFR"
"0.641853886","GFR"
"0.693147181","GFR"
"0.629968279","GFR"
"0.596816072","GFR"
"0.619039208","GFR"
"0.750305594","GFR"
"0.804372816","GFR"
"1.261131218","GFR"
"0.858226931","GFR"
"0.755278962","GFR"
"0.869037847","GFR"
"0.678332095","GFR"
"0.663294217","GFR"
"0.880358723","GFR"
"0.433635985","GFR"
"0.433635985","GFR"
"0.707331816","GFR"
"0.989412997","PFR"
"0.936769263","PFR"
"1.027153325","PFR"
"1.085708884","PFR"
"1.059391576","PFR"
"1.16074407","PFR"
"0.852211875","PFR"
"0.640037355","PFR"
"0.96343751","PFR"
"0.680243776","GFR"
"0.693147181","GFR"
"0.705886206","GFR"
"1.070441412","GFR"
"1.026638789","GFR"
"1.041453875","GFR"
"0.969400557","GFR"
"0.87924946","GFR"
"1.265666373","GFR"
"0.470003629","GFR"
"0.478892577","GFR"
"0.461034959","GFR"
"0.649087191","GFR"
"0.658055861","GFR"
"0.693147181","GFR"
"0.817709903","GFR"
"0.762140052","GFR"
"0.870353637","GFR"
"0.466595249","Normal"
"0.345919109","Normal"
"0.377029829","Normal"
"0.51228844","Normal"
"0.192020308","Normal"
"0.250942377","Normal"
"0.243940113","Normal"
"0.393094152","Normal"
"0.357592422","PFR"
"0.490529249","PFR"
"0.332341779","PFR"
"0.453806975","PFR"
"0.258986812","PFR"
"0.328241909","PFR"
"0.121125141","Normal"
"0.151890495","Normal"
"0.112951527","Normal"
"0.178692493","Normal"
"0.322580078","Normal"
"0.347530736","Normal"
"0.412532275","Normal"
"0.354545018","Normal"
"0.453917492","Normal"
"0.244196961","Normal"
"0.324239668","Normal"
"0.440311839","Normal"
"0.260726262","Normal"
"0.354545018","Normal"
"0.33950714","Normal"
"0.334639056","Normal"
"0.325422401","Normal"
"0.334639056","Normal"
"0.278020162","Normal"
"0.306730267","Normal"
"0.334639056","Normal"
"0.238411024","Normal"
"0.325422401","Normal"
"0.306730267","Normal"
"0.562526998","Normal"
"0.619039208","Normal"
"0.538996501","Normal"
"0.477627554","Normal"
"0.502628856","Normal"
"0.514898949","Normal"
"0.356674944","Normal"
"0.425667815","Normal"
"0.370859579","Normal"
"0.226786021","Normal"
"0.196737353","Normal"
"0.258664704","Normal"
"0.248850225","Normal"
"0.417516949","Normal"
"0.440043512","Normal"
"0.371436309","Normal"
"0.425631928","Normal"
"0.393774538","GFR"
"0.39940307","GFR"
"1.039542194","Normal"
"0.91368995","Normal"
"0.203463186","PFR"
"0.244452632","PFR"
"0.302947704","PFR"
"0.332801266","PFR"
"0.272175409","PFR"
"0.196027921","PFR"
"0.268389029","PFR"
"0.270010985","PFR"
"0.261873671","PFR"
"0.220166631","PFR"
"0.197044889","PFR"
"0.251313554","PFR"
"0.271151846","PFR"
"0.283574766","PFR"
"0.217978026","PFR"
"0.100822384","Normal"
"0.250207085","Normal"
"0.229505193","Normal"
"0.272763673","Normal"
"0.112527458","Normal"
