env_ID,gp_id,gp_lat,gp_lon,continent,country,site,region,sowing_date,harvest_date,R1_date,total_days,total_GDD,preR1_days,preR1_GDD,postR1_days,postR1_GDD,total_EDH30,total_EDH35,preR1_EDH30,preR1_EDH35,postR1_EDH30,postR1_EDH35
2005_04_10_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2005/4/10,2005/9/28,,171,1760.304595,,,,,369.82352,0.71792,,,,
2006_04_12_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2006/4/12,2006/10/2,,173,1813.451005,,,,,648.90982,1.7286,,,,
2007_04_13_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2007/4/13,2007/10/3,,173,1646.36379,,,,,224.77468,3.33839,,,,
2010_04_09_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2010/4/9,2010/9/28,,172,1569.97294,,,,,264.82945,0,,,,
2011_04_11_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2011/4/11,2011/9/25,,167,1723.766475,,,,,357.36785,2.20574,,,,
2012_04_10_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2012/4/10,2012/9/26,,169,1726.390755,,,,,660.88138,13.18808,,,,
2013_04_09_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2013/4/9,2013/9/28,,172,1562.128205,,,,,210.34076,0,,,,
2014_04_13_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2014/4/13,2014/9/27,,167,1672.769285,,,,,180.29365,0,,,,
2015_04_09_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,IRTA research station in Gimenells,Europe,2015/4/9,2015/9/26,,170,1752.514165,,,,,599.71097,11.68206,,,,
2002_04_05_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,Gimenells research station,Europe,2002/4/5,2002/10/15,,193,1614.837225,,,,,164.21335,0,,,,
2003_04_04_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,Gimenells research station,Europe,2003/4/4,2003/9/25,,174,1714.46203,,,,,894.92354,10.00466,,,,
2004_04_02_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,Gimenells research station,Europe,2004/4/2,2004/10/5,,186,1735.7127,,,,,304.46653,0.5187,,,,
2005_04_08_42.08_0.65,ERA5_42.00_0.75,42,0.75,Europe,Spain,Gimenells research station,Europe,2005/4/8,2005/10/10,,185,1840.31959,,,,,369.82352,0.71792,,,,
1996_11_20_13_12,ERA5_13.00_12.00,13,12,Africa,Niger,Konni research station of INRAN,West Africa,1996/11/20,1997/3/7,1997/1/29,107,1371.745475,71,910.786605,37,460.95887,839.04651,6.50968,743.61071,6.50968,95.4358,0
1997_11_22_13_12,ERA5_13.00_12.00,13,12,Africa,Niger,Konni research station of INRAN,West Africa,1997/11/22,1998/3/10,1998/1/31,108,1405.291415,71,872.781855,38,532.50956,1522.76411,302.08164,769.81482,79.03676,752.94929,223.04488
2004_05_20_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,Central Experimental Farm (CEF),North America_Rainfed,2004/5/20,2004/10/24,,157,1153.84876,,,,,0,0,,,,
2005_05_20_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,Central Experimental Farm (CEF),North America_Rainfed,2005/5/20,2005/10/24,,157,1437.38307,,,,,141.49448,0,,,,
1993_05_18_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,Central Experimental Farm at Ottawa,North America_Rainfed,1993/5/18,1993/10/22,,157,1175.500265,,,,,45.92577,0,,,,
1994_05_24_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,Central Experimental Farm at Ottawa,North America_Rainfed,1994/5/24,1994/10/28,,157,1182.172025,,,,,70.97292,0,,,,
2007_05_14_45.3__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,"Ottawa, Ontario",North America_Rainfed,2007/5/14,2007/10/18,,157,1316.548335,,,,,122.13756,0,,,,
2008_05_14_45.3__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,"Ottawa, Ontario",North America_Rainfed,2008/5/14,2008/10/18,,157,1218.32073,,,,,4.64737,0,,,,
1997_05_16_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,"Central Experimental Farm, Agriculture and AgriFood Canada (AAFC), Ottawa, ON",North America_Rainfed,1997/5/16,1997/10/20,,157,1196.54672,,,,,33.65461,0,,,,
1998_05_16_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,"Central Experimental Farm, Agriculture and AgriFood Canada (AAFC), Ottawa, ON",North America_Rainfed,1998/5/16,1998/10/20,,157,1331.12959,,,,,23.03264,0,,,,
1999_05_16_45.37__75.72,ERA5_45.25_-75.75,45.25,-75.75,North America,Canada,"Central Experimental Farm, Agriculture and AgriFood Canada (AAFC), Ottawa, ON",North America_Rainfed,1999/5/16,1999/10/20,,157,1407.4615,,,,,95.96461,0,,,,
2005_03_30_36.14__97.11,ERA5_36.25_-97.00,36.25,-97,North America,USA,Oklahoma_Oklahoma_Efaw Research Farm near Stillwater,North America_Irrigated,2005/3/30,2005/8/27,2005/6/19,150,1966.268225,82,857.762715,69,1108.50551,1721.08457,75.75445,203.70516,0,1517.37941,75.75445
2006_03_30_36.14__97.11,ERA5_36.25_-97.00,36.25,-97,North America,USA,Oklahoma_Oklahoma_Efaw Research Farm near Stillwater,North America_Irrigated,2006/3/30,2006/9/1,2006/6/24,155,2196.566355,87,1047.26694,69,1149.299415,3150.69812,450.34264,535.68404,9.11506,2615.01408,441.22758
2007_03_21_36.14__97.11,ERA5_36.25_-97.00,36.25,-97,North America,USA,Oklahoma_Oklahoma_Efaw Research Farm near Stillwater,North America_Irrigated,2007/3/21,2007/8/29,2007/6/26,161,2065.611975,98,1021.80349,64,1043.808485,1228.89489,87.0961,35.20684,0,1193.68805,87.0961
2018_04_30_36.14__97.11,ERA5_36.25_-97.00,36.25,-97,North America,USA,"Oklahoma_Efaw, Oklahoma Agricultural Experiment Station near Stillwater, OK",North America_Irrigated,2018/4/30,2018/9/10,2018/6/14,133,2080.63557,46,672.617715,88,1408.017855,2073.38281,97.43815,393.48101,0.41358,1679.9018,97.02457
2010_04_28_36.14__97.11,ERA5_36.25_-97.00,36.25,-97,North America,USA,"Oklahoma_Efaw, Oklahoma",North America_Irrigated,2010/4/28,2010/8/24,,118,1810.23648,,,,,2641.41466,338.98802,,,,
2005_04_12_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,Oklahoma_Oklahoma_Stillwater Research Station near Lake Carl Blackwell,North America_Irrigated,2005/4/12,2005/9/7,2005/6/26,148,2044.03064,76,876.8928,73,1167.13784,2101.56983,126.03434,379.96169,1.79735,1721.60814,124.23699
2006_03_31_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,Oklahoma_Oklahoma_Stillwater Research Station near Lake Carl Blackwell,North America_Irrigated,2006/3/31,2006/8/18,2006/6/17,140,1973.543365,79,937.29593,62,1036.247435,3359.60314,578.57999,658.15314,26.44237,2701.45,552.13762
2007_03_21_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,Oklahoma_Oklahoma_Stillwater Research Station near Lake Carl Blackwell,North America_Irrigated,2007/3/21,2007/8/29,2007/6/24,161,2069.163715,96,994.460545,66,1074.70317,1398.59394,137.24512,61.78654,0,1336.8074,137.24512
2017_05_09_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,"Oklahoma_Oklahoma Agricultural Experiment Station west of Stillwater, OK near Lake Carl Blackwell",North America_Irrigated,2017/5/9,2017/8/29,2017/6/23,112,1679.911695,46,610.365305,67,1069.54639,1838.35469,168.42518,403.35384,9.51253,1435.00085,158.91265
2018_05_01_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,"Oklahoma_Oklahoma Agricultural Experiment Station west of Stillwater, OK near Lake Carl Blackwell",North America_Irrigated,2018/5/1,2018/9/11,2018/6/15,133,2079.653545,46,679.80825,88,1399.845295,2313.16378,120.2992,512.25125,2.86681,1800.91253,117.43239
2009_05_20_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,Oklahoma_Lake Carl Blackwell,North America_Irrigated,2009/5/20,2009/10/15,,148,2005.896235,,,,,2386.35961,343.51511,,,,
2010_04_28_36.15__97.29,ERA5_36.25_-97.25,36.25,-97.25,North America,USA,Oklahoma_Lake Carl Blackwell,North America_Irrigated,2010/4/28,2010/9/7,,132,2017.09895,,,,,3267.15902,489.36342,,,,
2005_04_04_35.82__95.66,ERA5_35.75_-95.75,35.75,-95.75,North America,USA,Oklahoma_Oklahoma_Oklahoma Research Station near Haskell,North America_Irrigated,2005/4/4,2005/8/29,2005/6/25,147,1998.31089,83,923.53532,65,1074.77557,1702.62447,68.07871,187.26679,0,1515.35768,68.07871
2006_04_13_35.82__95.66,ERA5_35.75_-95.75,35.75,-95.75,North America,USA,Oklahoma_Oklahoma_Oklahoma Research Station near Haskell,North America_Irrigated,2006/4/13,2006/8/31,2006/6/26,140,2118.52723,75,989.84875,66,1128.67848,3296.74351,477.33368,443.99786,0.47438,2852.74565,476.8593
2007_04_12_35.82__95.66,ERA5_35.75_-95.75,35.75,-95.75,North America,USA,Oklahoma_Oklahoma_Oklahoma Research Station near Haskell,North America_Irrigated,2007/4/12,2007/9/19,2007/7/10,160,2299.15645,90,1143.926915,71,1155.229535,1463.47433,117.59333,95.83612,0,1367.63821,117.59333
2001_05_15_33.38_48.6,ERA5_33.50_48.50,33.5,48.5,Asia,Iran,"Agroclimatology Research Station in Khoramabad, Lorestan Province",South Asia,2001/5/15,2001/9/30,,138,1696.160885,,,,,1723.63723,43.92833,,,,
2002_05_20_33.38_48.6,ERA5_33.50_48.50,33.5,48.5,Asia,Iran,"Agroclimatology Research Station in Khoramabad, Lorestan Province",South Asia,2002/5/20,2002/9/30,,133,1606.90506,,,,,1255.87977,29.92584,,,,
1998_06_12_41.32__7.73,ERA5_41.25_-7.75,41.25,-7.75,Europe,Portugal,"University of Tras-os-Montes and Alto Douro, Vila Real",Europe,1998/6/12,1998/10/13,1998/8/16,123,1140.093265,66,687.07546,58,453.017805,166.42032,0,147.37282,0,19.0475,0
2017_12_01__22.82__48.42,ERA5_-22.75_-48.50,-22.75,-48.5,South America,Brazil,"Botucatu, State of S?o Paulo",South America,2017/12/1,2018/4/15,,135,1997.691495,,,,,483.95192,0,,,,
1996_05_18_32.6_75.08,ERA5_32.50_75.00,32.5,75,Asia,India,"Research Sub-station of Himachal Pradesh Krishi Vishva-vidyalaya, Salooni",South Asia,1996/5/18,1996/9/15,,120,2092.057175,,,,,3347.60431,464.52522,,,,
1997_05_15_32.6_75.08,ERA5_32.50_75.00,32.5,75,Asia,India,"Research Sub-station of Himachal Pradesh Krishi Vishva-vidyalaya, Salooni",South Asia,1997/5/15,1997/9/15,,123,2136.549665,,,,,4103.12787,718.62783,,,,
2019_11_01__37.61__58.64,ERA5_-37.50_-58.75,-37.5,-58.75,South America,Argentina,S1 southeastern Argentinean Pampas,South America,2019/11/1,2020/3/2,,122,1176.142715,,,,,148.04943,0,,,,
2019_10_24__37.08__59.59,ERA5_-37.00_-59.50,-37,-59.5,South America,Argentina,S2 southeastern Argentinean Pampas,South America,2019/10/24,2020/2/18,,117,1183.242,,,,,205.69183,0,,,,
2019_11_29__38.22__59.02,ERA5_-38.25_-59.00,-38.25,-59,South America,Argentina,S3 southeastern Argentinean Pampas,South America,2019/11/29,2020/3/23,,115,1200.067665,,,,,205.03698,0,,,,
2019_11_15__38.29__59.02,ERA5_-38.25_-59.00,-38.25,-59,South America,Argentina,S4 southeastern Argentinean Pampas,South America,2019/11/15,2020/3/16,,122,1242.025655,,,,,205.03698,0,,,,
2007_06_20_30.93_75.87,ERA5_31.00_75.75,31,75.75,Asia,India,"Punjab Agricultural University, Ludhiana",South Asia,2007/6/20,2007/10/3,2007/8/17,105,1902.808485,59,1085.455085,47,817.3534,2868.70475,48.23729,1855.06251,46.08099,1013.64224,2.1563
2007_06_20_30.93_75.87,ERA5_31.00_75.75,31,75.75,Asia,India,"Punjab Agricultural University, Ludhiana",South Asia,2007/6/20,2007/9/13,2007/8/17,85,1570.112535,59,1085.455085,27,484.65745,2502.59428,47.98039,1855.06251,46.08099,647.53177,1.8994
2008_06_06_30.93_75.87,ERA5_31.00_75.75,31,75.75,Asia,India,"Punjab Agricultural University, Ludhiana",South Asia,2008/6/6,2008/9/19,2008/8/3,105,1878.7149,59,1068.666005,47,810.048895,2199.37055,48.16055,1514.83594,48.06037,684.53461,0.10018
2009_05_27_30.93_75.87,ERA5_31.00_75.75,31,75.75,Asia,India,"Punjab Agricultural University, Ludhiana",South Asia,2009/5/27,2009/9/9,2009/7/24,105,1903.502935,59,1063.37897,47,840.123965,5523.08073,1449.53689,4551.67513,1440.88198,971.4056,8.65491
2015_02_28_30.9_75.8,ERA5_31.00_75.75,31,75.75,Asia,India,"Department of Soil Science, Punjab Agricultural University, Ludhiana",South Asia,2015/2/28,2015/6/10,,102,1440.75289,,,,,3419.7696,976.49335,,,,
2016_02_17_30.9_75.8,ERA5_31.00_75.75,31,75.75,Asia,India,"Department of Soil Science, Punjab Agricultural University, Ludhiana",South Asia,2016/2/17,2016/6/10,,114,1698.67259,,,,,4860.92926,1528.24363,,,,
