"Ncl","env","est","se","lwr","upr","pct","pct_lwr","pct_upr","k","n_ref","n_sy","n_lab"
"0_100","Normal",35.826652910969,0.89085854572979,34.0805701613386,37.5727356605994,35.826652910969,34.0805701613386,37.5727356605994,390,68,187,"n=390"
"0_100","PFR",27.0093302086877,1.01146777204017,25.026853375489,28.9918070418865,27.0093302086877,25.026853375489,28.9918070418865,182,46,89,"n=182"
"0_100","GFR",31.9098185492669,1.08835501861805,29.7766427127756,34.0429943857583,31.9098185492669,29.7766427127756,34.0429943857583,210,41,101,"n=210"
"100_200","Normal",24.4159630768656,0.840174324549428,22.7692214007487,26.0627047529825,24.4159630768656,22.7692214007487,26.0627047529825,679,116,308,"n=679"
"100_200","PFR",20.3612369353601,0.887240744083554,18.6222450769563,22.1002287937639,20.3612369353601,18.6222450769563,22.1002287937639,552,113,226,"n=552"
"100_200","GFR",21.8017465768257,1.01024960420265,19.8216573525885,23.7818358010629,21.8017465768257,19.8216573525885,23.7818358010629,454,73,172,"n=454"
"200_300","Normal",17.6906862113604,0.86492839176797,15.9954265634951,19.3859458592256,17.6906862113604,15.9954265634951,19.3859458592256,493,91,217,"n=493"
"200_300","PFR",15.1690195524096,0.898217965247931,13.4085123405236,16.9295267642955,15.1690195524096,13.4085123405236,16.9295267642955,489,102,188,"n=489"
"200_300","GFR",14.1056242262818,1.03407217845113,12.0788427565176,16.1324056960461,14.1056242262818,12.0788427565176,16.1324056960461,327,62,129,"n=327"
"300_400","Normal",14.6150672573751,1.04570818121252,12.5654792221986,16.6646552925517,14.6150672573751,12.5654792221986,16.6646552925517,146,43,85,"n=146"
"300_400","PFR",11.2094655533035,1.00571196273289,9.23827010634704,13.18066100026,11.2094655533035,9.23827010634704,13.18066100026,200,53,102,"n=200"
"300_400","GFR",12.0621081588102,1.29511693613237,9.52367896399072,14.6005373536296,12.0621081588102,9.52367896399072,14.6005373536296,84,25,50,"n=84"
"400_600","Normal",11.5469566180308,1.54782682875571,8.51321603366958,14.580697202392,11.5469566180308,8.51321603366958,14.580697202392,44,10,19,"n=44"
"400_600","PFR",6.30804777353126,1.88294618189474,2.61747325701758,9.99862229004494,6.30804777353126,2.61747325701758,9.99862229004494,33,9,17,"n=33"
"400_600","GFR",11.720767325354,4.64178588072436,2.62286699913423,20.8186676515737,11.720767325354,2.62286699913423,20.8186676515737,34,3,6,"n=34"
