"lnRR","env_group","N_rate","Nc","reference_ID","site_year_ID"
0.672944473,"PFR",100,-80,"1","1"
0.823377677,"PFR",150,-30,"1","1"
0.905321701,"PFR",200,20,"1","1"
0.874710874,"PFR",250,70,"1","1"
0.886768293,"PFR",300,120,"1","1"
0.550474956,"GFR",100,-80,"1","2"
0.6187942,"GFR",150,-30,"1","2"
0.665703973,"GFR",200,20,"1","2"
0.710511468,"GFR",250,70,"1","2"
0.746627572,"GFR",300,120,"1","2"
0.597976801,"GFR",100,-80,"1","3"
0.675118335,"GFR",150,-30,"1","3"
0.679235697,"GFR",200,20,"1","3"
0.727350161,"GFR",250,70,"1","3"
0.761971528,"GFR",300,120,"1","3"
0.895204839,"Normal",100,-80,"1","4"
1.092657358,"Normal",150,-30,"1","4"
1.096914495,"Normal",200,20,"1","4"
1.172962568,"Normal",250,70,"1","4"
1.184704385,"Normal",300,120,"1","4"
0.644925233,"GFR",100,-80,"1","5"
0.894959259,"GFR",150,-30,"1","5"
0.983429038,"GFR",200,20,"1","5"
1.008875162,"GFR",250,70,"1","5"
1.098087519,"GFR",300,120,"1","5"
0.542626864,"GFR",100,-80,"1","6"
0.694959418,"GFR",150,-30,"1","6"
0.746112184,"GFR",200,20,"1","6"
0.772609764,"GFR",250,70,"1","6"
0.794768063,"GFR",300,120,"1","6"
0.591106724,"Normal",100,-80,"1","7"
0.771948683,"Normal",150,-30,"1","7"
0.89989173,"Normal",200,20,"1","7"
0.9391411,"Normal",250,70,"1","7"
0.973525156,"Normal",300,120,"1","7"
0.793163683,"Normal",100,-80,"1","8"
1.094894543,"Normal",150,-30,"1","8"
1.286227706,"Normal",200,20,"1","8"
1.313179408,"Normal",250,70,"1","8"
1.352282708,"Normal",300,120,"1","8"
1.449665032,"Normal",400,220,"1","8"
0.684918252,"PFR",100,-80,"1","9"
0.875418362,"PFR",150,-30,"1","9"
0.970412492,"PFR",200,20,"1","9"
1.000174598,"PFR",250,70,"1","9"
1.063286341,"PFR",300,120,"1","9"
1.087456453,"PFR",400,220,"1","9"
0.324440289,"PFR",40,-140,"2","10"
0.434352474,"PFR",80,-100,"2","10"
0.524945078,"PFR",120,-60,"2","10"
0.491026362,"PFR",160,-20,"2","10"
0.624568474,"GFR",40,-140,"2","11"
1.006995914,"GFR",80,-100,"2","11"
1.336395463,"GFR",120,-60,"2","11"
1.3172719,"GFR",160,-20,"2","11"
0.140357358,"Normal",40,-140,"3","12"
0.346913885,"Normal",80,-100,"3","12"
0.32825497,"Normal",120,-60,"3","12"
0.339846718,"Normal",160,-20,"3","12"
0.353931458,"Normal",240,60,"3","12"
0.070494599,"Normal",80,-100,"3","12"
0.096211487,"Normal",120,-60,"3","12"
0.052689974,"Normal",160,-20,"3","12"
0.102742122,"Normal",240,60,"3","12"
0.097242548,"Normal",75,-105,"3","12"
0.105892289,"Normal",150,-30,"3","12"
0.176096548,"Normal",225,45,"3","12"
0.200263405,"Normal",75,-105,"3","12"
0.258999146,"Normal",150,-30,"3","12"
0.270172447,"Normal",225,45,"3","12"
0.031541495,"Normal",40,-140,"3","13"
0.071420861,"Normal",80,-100,"3","13"
0.069361128,"Normal",120,-60,"3","13"
0.138079047,"Normal",160,-20,"3","13"
0.208848311,"Normal",40,-140,"3","13"
0.231623623,"Normal",80,-100,"3","13"
0.236728279,"Normal",120,-60,"3","13"
0.298909135,"Normal",160,-20,"3","13"
0.302729579,"Normal",240,60,"3","13"
0.279364076,"GFR",90,-90,"4","14"
0.323013021,"GFR",180,0,"4","14"
0.201742751,"GFR",90,-90,"4","14"
0.380203938,"GFR",180,0,"4","14"
0.290426001,"GFR",90,-90,"4","14"
0.386263561,"GFR",180,0,"4","14"
0.512613968,"GFR",90,-90,"4","15"
0.598665823,"GFR",180,0,"4","15"
0.415157391,"GFR",90,-90,"4","15"
0.54884084,"GFR",180,0,"4","15"
0.584094678,"GFR",90,-90,"4","15"
0.627607896,"GFR",180,0,"4","15"
0.099186869,"GFR",180,0,"4","16"
0.201548882,"GFR",90,-90,"4","16"
0.496790665,"GFR",180,0,"4","16"
0.304953223,"GFR",90,-90,"4","16"
0.385947283,"GFR",180,0,"4","16"
0.374764132,"GFR",90,-90,"4","17"
0.446169475,"GFR",180,0,"4","17"
0.474432847,"GFR",90,-90,"4","17"
0.427832402,"GFR",180,0,"4","17"
0.436641091,"GFR",90,-90,"4","17"
0.475698759,"GFR",180,0,"4","17"
0.059787918,"GFR",90,-90,"4","19"
0.174418755,"GFR",180,0,"4","19"
0.227090646,"GFR",90,-90,"4","19"
0.312298948,"GFR",180,0,"4","19"
0.264411271,"GFR",180,0,"4","19"
0.409528592,"GFR",90,-90,"4","20"
0.443576268,"GFR",180,0,"4","20"
0.249919523,"GFR",90,-90,"4","20"
0.079305966,"GFR",180,0,"4","20"
0.400058198,"GFR",90,-90,"4","20"
0.448226456,"GFR",180,0,"4","20"
0.055337708,"GFR",180,0,"4","21"
0.773686684,"GFR",90,-90,"4","22"
1.011992347,"GFR",180,0,"4","22"
0.751184479,"GFR",90,-90,"4","22"
0.864589357,"GFR",180,0,"4","22"
0.821402513,"GFR",90,-90,"4","22"
0.892054518,"GFR",180,0,"4","22"
0.268245797,"GFR",36,-144,"5","23"
0.424454959,"GFR",72,-108,"5","23"
0.478202763,"GFR",108,-72,"5","23"
0.530118827,"GFR",144,-36,"5","23"
0.561645708,"GFR",180,0,"5","23"
0.268237796,"GFR",36,-144,"5","24"
0.42438075,"GFR",72,-108,"5","24"
0.478151556,"GFR",108,-72,"5","24"
0.530051897,"GFR",144,-36,"5","24"
0.561606766,"GFR",180,0,"5","24"
0.384657713,"Normal",100,-80,"6","25"
0.571133489,"Normal",200,20,"6","25"
0.685398022,"Normal",300,120,"6","25"
0.742820702,"Normal",90,-90,"7","26"
0.991193318,"Normal",180,0,"7","26"
1.041455698,"Normal",270,90,"7","26"
0.97839724,"Normal",90,-90,"7","26"
1.18238193,"Normal",180,0,"7","26"
1.419709531,"Normal",270,90,"7","26"
0.271779959,"Normal",50,-130,"9","29"
0.382004492,"Normal",100,-80,"9","29"
0.35273411,"Normal",200,20,"9","29"
0.299170869,"Normal",50,-130,"9","30"
0.559172931,"Normal",100,-80,"9","30"
0.629443778,"Normal",200,20,"9","30"
0.099235441,"Normal",200,20,"9","31"
0.17623218,"Normal",200,20,"9","32"
0.599791611,"PFR",90,-90,"10","33"
0.560857253,"PFR",120,-60,"10","33"
0.602175402,"PFR",130,-50,"10","33"
0.571257363,"PFR",90,-90,"10","33"
0.566616983,"PFR",120,-60,"10","33"
0.568939865,"PFR",130,-50,"10","33"
0.57614509,"PFR",90,-90,"10","34"
0.557231997,"PFR",120,-60,"10","34"
0.566733256,"PFR",130,-50,"10","34"
0.632960547,"PFR",90,-90,"10","34"
0.62047599,"PFR",120,-60,"10","34"
0.679029299,"PFR",130,-50,"10","34"
0.821625505,"Normal",240,60,"11","36"
0.963395201,"Normal",240,60,"11","36"
0.884321366,"Normal",240,60,"11","36"
0.721004135,"Normal",240,60,"11","36"
0.926523908,"Normal",240,60,"11","36"
0.917432936,"Normal",240,60,"11","36"
0.688217014,"Normal",120,-60,"12","37"
0.466595249,"Normal",140,-40,"12","38"
0.377029829,"Normal",90,-90,"13","39"
0.51228844,"Normal",180,0,"13","39"
0.192020308,"Normal",90,-90,"13","39"
0.250942377,"Normal",180,0,"13","39"
0.554678041,"Normal",220,40,"14","41"
0.405464564,"Normal",220,40,"14","41"
0.460216262,"Normal",220,40,"14","41"
0.426680167,"Normal",220,40,"14","41"
0.546545543,"Normal",220,40,"14","41"
0.580854385,"Normal",220,40,"14","41"
0.640780856,"Normal",220,40,"14","41"
0.8147539,"Normal",220,40,"14","41"
0.454254729,"Normal",220,40,"14","41"
0.612019774,"Normal",220,40,"14","41"
0.565450197,"Normal",220,40,"14","41"
0.618214856,"Normal",220,40,"14","41"
0.693148533,"Normal",220,40,"14","41"
0.738041526,"Normal",220,40,"14","41"
0.583949057,"Normal",220,40,"14","41"
0.405464564,"Normal",220,40,"14","41"
0.516007771,"Normal",220,40,"14","41"
0.521299118,"Normal",220,40,"14","41"
0.580029785,"Normal",220,40,"14","41"
0.592377641,"Normal",220,40,"14","41"
0.754970649,"Normal",220,40,"14","41"
0.866810479,"Normal",220,40,"14","41"
0.470003425,"Normal",220,40,"14","41"
0.615533426,"Normal",220,40,"14","41"
0.581918942,"Normal",220,40,"14","41"
0.571010496,"Normal",220,40,"14","41"
0.650809089,"Normal",220,40,"14","41"
0.764519952,"Normal",220,40,"14","41"
0.050870897,"GFR",120,-60,"15","42"
0.090903757,"GFR",180,0,"15","42"
0.09230512,"GFR",240,60,"15","42"
0.094837808,"GFR",120,-60,"15","42"
0.16144241,"GFR",180,0,"15","42"
0.171498955,"GFR",240,60,"15","42"
0.101666585,"GFR",120,-60,"15","42"
0.121071153,"GFR",180,0,"15","42"
0.168610204,"GFR",240,60,"15","42"
0.191688181,"GFR",150,-30,"16","43"
0.231559746,"GFR",300,120,"16","43"
0.227185808,"GFR",150,-30,"16","43"
0.384078678,"GFR",300,120,"16","43"
0.059384407,"GFR",150,-30,"16","44"
0.105184334,"GFR",300,120,"16","44"
0.120463625,"GFR",150,-30,"16","44"
0.300667639,"GFR",300,120,"16","44"
0.230325786,"Normal",150,-30,"16","45"
0.431230559,"Normal",300,120,"16","45"
0.14447275,"Normal",150,-30,"16","45"
0.540534789,"Normal",300,120,"16","45"
0.223953156,"Normal",60,-120,"17","46"
0.398698764,"Normal",120,-60,"17","46"
0.466967342,"Normal",180,0,"17","46"
0.175417055,"Normal",60,-120,"17","47"
0.257373419,"Normal",120,-60,"17","47"
0.281674004,"Normal",180,0,"17","47"
0.833418531,"GFR",270,90,"18","48"
0.903527007,"GFR",360,180,"18","48"
0.83775827,"GFR",270,90,"18","48"
0.945909835,"GFR",360,180,"18","48"
0.780240472,"GFR",270,90,"18","48"
0.714130372,"GFR",360,180,"18","48"
0.571450246,"GFR",270,90,"18","48"
0.614871985,"GFR",360,180,"18","48"
0.721862151,"GFR",270,90,"18","48"
0.728229611,"GFR",360,180,"18","48"
0.612184129,"GFR",270,90,"18","48"
0.627418812,"GFR",360,180,"18","48"
0.719779795,"GFR",270,90,"18","49"
0.79346703,"GFR",360,180,"18","49"
0.657766779,"GFR",270,90,"18","49"
0.652643079,"GFR",360,180,"18","49"
0.646340607,"GFR",270,90,"18","49"
0.795026916,"GFR",360,180,"18","49"
0.418688441,"GFR",270,90,"18","49"
0.567564014,"GFR",360,180,"18","49"
0.407477424,"GFR",270,90,"18","49"
0.594665431,"GFR",360,180,"18","49"
0.554548821,"GFR",270,90,"18","49"
0.742853778,"GFR",360,180,"18","49"
0.231329136,"Normal",30,-150,"19","50"
0.41907076,"Normal",60,-120,"19","50"
0.488664052,"Normal",90,-90,"19","50"
0.545822466,"Normal",120,-60,"19","50"
0.592342482,"Normal",150,-30,"19","50"
0.186877373,"GFR",60,-120,"19","51"
0.175448678,"GFR",90,-90,"19","51"
0.163887855,"GFR",120,-60,"19","51"
0.27388875,"GFR",150,-30,"19","51"
0.242140052,"GFR",180,0,"19","51"
0.216671037,"Normal",30,-150,"19","52"
0.405465108,"Normal",60,-120,"19","52"
0.457833094,"Normal",90,-90,"19","52"
0.573345981,"Normal",120,-60,"19","52"
0.545694449,"Normal",150,-30,"19","52"
0.545694449,"Normal",180,0,"19","52"
0.106380404,"Normal",90,-90,"19","53"
0.168622712,"Normal",120,-60,"19","53"
0.168622712,"Normal",180,0,"19","53"
0.447014111,"Normal",30,-150,"19","54"
0.577634294,"Normal",90,-90,"19","54"
0.607787332,"Normal",120,-60,"19","54"
0.558056131,"Normal",180,0,"19","54"
0.176930708,"Normal",30,-150,"19","55"
0.334934957,"Normal",90,-90,"19","55"
0.387381433,"Normal",120,-60,"19","55"
0.423227564,"Normal",180,0,"19","55"
0.289358352,"Normal",45,-135,"20","56"
0.501385169,"Normal",90,-90,"20","56"
0.087313223,"PFR",150,-30,"21","57"
0.103035711,"PFR",150,-30,"21","57"
0.115281811,"PFR",150,-30,"21","57"
0.165521773,"Normal",150,-30,"21","58"
0.688118376,"Normal",150,-30,"21","58"
0.080621305,"Normal",150,-30,"21","58"
0.0922027,"PFR",56,-124,"22","60"
0.150898073,"PFR",112,-68,"22","60"
0.146001235,"PFR",224,44,"22","60"
0.217589172,"PFR",56,-124,"22","60"
0.263546493,"PFR",112,-68,"22","60"
0.291520711,"PFR",224,44,"22","60"
0.226938622,"Normal",180,0,"23","61"
0.234485828,"Normal",180,0,"23","61"
0.258261093,"Normal",180,0,"23","61"
0.295491223,"Normal",180,0,"23","62"
0.300663648,"Normal",180,0,"23","62"
0.308372466,"Normal",180,0,"23","62"
0.283608747,"Normal",180,0,"23","63"
0.26714747,"Normal",180,0,"23","63"
0.324593994,"Normal",180,0,"23","63"
0.197537656,"Normal",30,-150,"24","64"
0.472439794,"Normal",60,-120,"24","64"
0.729168229,"Normal",90,-90,"24","64"
0.268572786,"Normal",30,-150,"24","64"
0.448036976,"Normal",60,-120,"24","64"
0.421930598,"Normal",90,-90,"24","64"
0.307006857,"Normal",30,-150,"24","65"
0.602797426,"Normal",60,-120,"24","65"
0.915666324,"Normal",90,-90,"24","65"
0.221808751,"Normal",30,-150,"24","65"
0.349441337,"Normal",60,-120,"24","65"
0.576599747,"Normal",90,-90,"24","65"
0.285505706,"Normal",80,-100,"25","66"
0.336472237,"Normal",120,-60,"25","66"
0.358776143,"Normal",80,-100,"25","66"
0.380596066,"Normal",120,-60,"25","66"
