lnRR,AEN,Env_Type,reference_ID,site_year_ID,env_ID,EDH35_total,N_rate,N_rate_cluster
0.672944473,52.8,PFR,1,1,2005_04_10_42.08_0.65,0.71792,100.0,100_200
0.823377677,46.86666667,PFR,1,1,2005_04_10_42.08_0.65,0.71792,150.0,100_200
0.905321701,40.5,PFR,1,1,2005_04_10_42.08_0.65,0.71792,200.0,200_300
0.874710874,30.76,PFR,1,1,2005_04_10_42.08_0.65,0.71792,250.0,200_300
0.886768293,26.16666667,PFR,1,1,2005_04_10_42.08_0.65,0.71792,300.0,300_400
0.550474956,46.1,GFR,1,2,2006_04_12_42.08_0.65,1.7286,100.0,100_200
0.6187942,35.86666667,GFR,1,2,2006_04_12_42.08_0.65,1.7286,150.0,100_200
0.665703973,29.7,GFR,1,2,2006_04_12_42.08_0.65,1.7286,200.0,200_300
0.710511468,26.0,GFR,1,2,2006_04_12_42.08_0.65,1.7286,250.0,200_300
0.746627572,23.23333333,GFR,1,2,2006_04_12_42.08_0.65,1.7286,300.0,300_400
0.597976801,51.807,GFR,1,3,2007_04_13_42.08_0.65,3.33839,100.0,100_200
0.675118335,40.692,GFR,1,3,2007_04_13_42.08_0.65,3.33839,150.0,100_200
0.679235697,30.7755,GFR,1,3,2007_04_13_42.08_0.65,3.33839,200.0,200_300
0.727350161,27.082,GFR,1,3,2007_04_13_42.08_0.65,3.33839,250.0,200_300
0.761971528,24.10666667,GFR,1,3,2007_04_13_42.08_0.65,3.33839,300.0,300_400
0.895204839,56.9,Normal,1,4,2010_04_09_42.08_0.65,0.0,100.0,100_200
1.092657358,51.93333333,Normal,1,4,2010_04_09_42.08_0.65,0.0,150.0,100_200
1.096914495,39.2,Normal,1,4,2010_04_09_42.08_0.65,0.0,200.0,200_300
1.172962568,35.08,Normal,1,4,2010_04_09_42.08_0.65,0.0,250.0,200_300
1.184704385,29.73333333,Normal,1,4,2010_04_09_42.08_0.65,0.0,300.0,300_400
0.644925233,47.1945,GFR,1,5,2011_04_11_42.08_0.65,2.20574,100.0,100_200
0.894959259,50.26733333,GFR,1,5,2011_04_11_42.08_0.65,2.20574,150.0,100_200
0.983429038,43.5975,GFR,1,5,2011_04_11_42.08_0.65,2.20574,200.0,200_300
1.008875162,36.314,GFR,1,5,2011_04_11_42.08_0.65,2.20574,250.0,200_300
1.098087519,34.706,GFR,1,5,2011_04_11_42.08_0.65,2.20574,300.0,300_400
0.542626864,45.681,GFR,1,6,2012_04_10_42.08_0.65,13.18808,100.0,100_200
0.694959418,42.42,GFR,1,6,2012_04_10_42.08_0.65,13.18808,150.0,100_200
0.746112184,35.1485,GFR,1,6,2012_04_10_42.08_0.65,13.18808,200.0,200_300
0.772609764,29.5548,GFR,1,6,2012_04_10_42.08_0.65,13.18808,250.0,200_300
0.794768063,25.65433333,GFR,1,6,2012_04_10_42.08_0.65,13.18808,300.0,300_400
0.591106724,46.183,Normal,1,7,2013_04_09_42.08_0.65,0.0,100.0,100_200
0.771948683,44.464,Normal,1,7,2013_04_09_42.08_0.65,0.0,150.0,100_200
0.89989173,41.81,Normal,1,7,2013_04_09_42.08_0.65,0.0,200.0,200_300
0.9391411,35.7044,Normal,1,7,2013_04_09_42.08_0.65,0.0,250.0,200_300
0.973525156,31.46266667,Normal,1,7,2013_04_09_42.08_0.65,0.0,300.0,300_400
0.793163683,50.2307,Normal,1,8,2014_04_13_42.08_0.65,0.0,100.0,100_200
1.094894543,55.02533333,Normal,1,8,2014_04_13_42.08_0.65,0.0,150.0,100_200
1.286227706,54.3465,Normal,1,8,2014_04_13_42.08_0.65,0.0,200.0,200_300
1.313179408,45.1184,Normal,1,8,2014_04_13_42.08_0.65,0.0,250.0,200_300
1.352282708,39.64966667,Normal,1,8,2014_04_13_42.08_0.65,0.0,300.0,300_400
1.449665032,33.84,Normal,1,8,2014_04_13_42.08_0.65,0.0,400.0,400_600
0.684918252,56.951,PFR,1,9,2015_04_09_42.08_0.65,11.68206,100.0,100_200
0.875418362,54.03533333,PFR,1,9,2015_04_09_42.08_0.65,11.68206,150.0,100_200
0.970412492,47.45,PFR,1,9,2015_04_09_42.08_0.65,11.68206,200.0,200_300
1.000174598,39.8064,PFR,1,9,2015_04_09_42.08_0.65,11.68206,250.0,200_300
1.063286341,36.59033333,PFR,1,9,2015_04_09_42.08_0.65,11.68206,300.0,300_400
1.087456453,28.46825,PFR,1,9,2015_04_09_42.08_0.65,11.68206,400.0,400_600
0.324440289,22.775,PFR,2,10,1996_11_20_13_12,6.50968,40.0,0_100
0.434352474,16.1625,PFR,2,10,1996_11_20_13_12,6.50968,80.0,0_100
0.524945078,13.675,PFR,2,10,1996_11_20_13_12,6.50968,120.0,100_200
0.491026362,9.41875,PFR,2,10,1996_11_20_13_12,6.50968,160.0,100_200
0.624568474,26.175,GFR,2,11,1997_11_22_13_12,302.08164,40.0,0_100
1.006995914,26.2125,GFR,2,11,1997_11_22_13_12,302.08164,80.0,0_100
1.336395463,28.21666667,GFR,2,11,1997_11_22_13_12,302.08164,120.0,100_200
1.3172719,20.61875,GFR,2,11,1997_11_22_13_12,302.08164,160.0,100_200
0.140357358,30.25,Normal,3,12,2004_05_20_45.37__75.72,0.0,40.0,0_100
0.346913885,41.625,Normal,3,12,2004_05_20_45.37__75.72,0.0,80.0,0_100
0.32825497,26.0,Normal,3,12,2004_05_20_45.37__75.72,0.0,120.0,100_200
0.339846718,20.3125,Normal,3,12,2004_05_20_45.37__75.72,0.0,160.0,100_200
0.353931458,14.20833333,Normal,3,12,2004_05_20_45.37__75.72,0.0,240.0,200_300
0.070494599,10.125,Normal,3,12,2004_05_20_45.37__75.72,0.0,80.0,0_100
0.096211487,9.333333333,Normal,3,12,2004_05_20_45.37__75.72,0.0,120.0,100_200
0.052689974,3.75,Normal,3,12,2004_05_20_45.37__75.72,0.0,160.0,100_200
0.102742122,5.0,Normal,3,12,2004_05_20_45.37__75.72,0.0,240.0,200_300
0.097242548,12.8,Normal,3,12,2004_05_20_45.37__75.72,0.0,75.0,0_100
0.105892289,7.0,Normal,3,12,2004_05_20_45.37__75.72,0.0,150.0,100_200
0.176096548,8.044444444,Normal,3,12,2004_05_20_45.37__75.72,0.0,225.0,200_300
0.200263405,26.4,Normal,3,12,2004_05_20_45.37__75.72,0.0,75.0,0_100
0.258999146,17.6,Normal,3,12,2004_05_20_45.37__75.72,0.0,150.0,100_200
0.270172447,12.31111111,Normal,3,12,2004_05_20_45.37__75.72,0.0,225.0,200_300
0.031541495,7.25,Normal,3,13,2005_05_20_45.37__75.72,0.0,40.0,0_100
0.071420861,8.375,Normal,3,13,2005_05_20_45.37__75.72,0.0,80.0,0_100
0.069361128,5.416666667,Normal,3,13,2005_05_20_45.37__75.72,0.0,120.0,100_200
0.138079047,8.375,Normal,3,13,2005_05_20_45.37__75.72,0.0,160.0,100_200
0.208848311,45.0,Normal,3,13,2005_05_20_45.37__75.72,0.0,40.0,0_100
0.231623623,25.25,Normal,3,13,2005_05_20_45.37__75.72,0.0,80.0,0_100
0.236728279,17.25,Normal,3,13,2005_05_20_45.37__75.72,0.0,120.0,100_200
0.298909135,16.875,Normal,3,13,2005_05_20_45.37__75.72,0.0,160.0,100_200
0.302729579,11.41666667,Normal,3,13,2005_05_20_45.37__75.72,0.0,240.0,200_300
