"AEN","env_group","N_rate","Nc","reference_ID","site_year_ID"
52.8,"PFR",100,-80,"1","1"
46.86666667,"PFR",150,-30,"1","1"
40.5,"PFR",200,20,"1","1"
30.76,"PFR",250,70,"1","1"
26.16666667,"PFR",300,120,"1","1"
46.1,"GFR",100,-80,"1","2"
35.86666667,"GFR",150,-30,"1","2"
29.7,"GFR",200,20,"1","2"
26,"GFR",250,70,"1","2"
23.23333333,"GFR",300,120,"1","2"
51.807,"GFR",100,-80,"1","3"
40.692,"GFR",150,-30,"1","3"
30.7755,"GFR",200,20,"1","3"
27.082,"GFR",250,70,"1","3"
24.10666667,"GFR",300,120,"1","3"
56.9,"Normal",100,-80,"1","4"
51.93333333,"Normal",150,-30,"1","4"
39.2,"Normal",200,20,"1","4"
35.08,"Normal",250,70,"1","4"
29.73333333,"Normal",300,120,"1","4"
47.1945,"GFR",100,-80,"1","5"
50.26733333,"GFR",150,-30,"1","5"
43.5975,"GFR",200,20,"1","5"
36.314,"GFR",250,70,"1","5"
34.706,"GFR",300,120,"1","5"
45.681,"GFR",100,-80,"1","6"
42.42,"GFR",150,-30,"1","6"
35.1485,"GFR",200,20,"1","6"
29.5548,"GFR",250,70,"1","6"
25.65433333,"GFR",300,120,"1","6"
46.183,"Normal",100,-80,"1","7"
44.464,"Normal",150,-30,"1","7"
41.81,"Normal",200,20,"1","7"
35.7044,"Normal",250,70,"1","7"
31.46266667,"Normal",300,120,"1","7"
50.2307,"Normal",100,-80,"1","8"
55.02533333,"Normal",150,-30,"1","8"
54.3465,"Normal",200,20,"1","8"
45.1184,"Normal",250,70,"1","8"
39.64966667,"Normal",300,120,"1","8"
33.84,"Normal",400,220,"1","8"
56.951,"PFR",100,-80,"1","9"
54.03533333,"PFR",150,-30,"1","9"
47.45,"PFR",200,20,"1","9"
39.8064,"PFR",250,70,"1","9"
36.59033333,"PFR",300,120,"1","9"
28.46825,"PFR",400,220,"1","9"
22.775,"PFR",40,-140,"2","10"
16.1625,"PFR",80,-100,"2","10"
13.675,"PFR",120,-60,"2","10"
9.41875,"PFR",160,-20,"2","10"
26.175,"GFR",40,-140,"2","11"
26.2125,"GFR",80,-100,"2","11"
28.21666667,"GFR",120,-60,"2","11"
20.61875,"GFR",160,-20,"2","11"
30.25,"Normal",40,-140,"3","12"
41.625,"Normal",80,-100,"3","12"
26,"Normal",120,-60,"3","12"
20.3125,"Normal",160,-20,"3","12"
14.20833333,"Normal",240,60,"3","12"
10.125,"Normal",80,-100,"3","12"
9.333333333,"Normal",120,-60,"3","12"
3.75,"Normal",160,-20,"3","12"
5,"Normal",240,60,"3","12"
12.8,"Normal",75,-105,"3","12"
7,"Normal",150,-30,"3","12"
8.044444444,"Normal",225,45,"3","12"
26.4,"Normal",75,-105,"3","12"
17.6,"Normal",150,-30,"3","12"
12.31111111,"Normal",225,45,"3","12"
7.25,"Normal",40,-140,"3","13"
8.375,"Normal",80,-100,"3","13"
5.416666667,"Normal",120,-60,"3","13"
8.375,"Normal",160,-20,"3","13"
45,"Normal",40,-140,"3","13"
25.25,"Normal",80,-100,"3","13"
17.25,"Normal",120,-60,"3","13"
16.875,"Normal",160,-20,"3","13"
11.41666667,"Normal",240,60,"3","13"
22.15555556,"GFR",90,-90,"4","14"
13.10555556,"GFR",180,0,"4","14"
15.36666667,"GFR",90,-90,"4","14"
15.9,"GFR",180,0,"4","14"
23.16666667,"GFR",90,-90,"4","14"
16.20555556,"GFR",180,0,"4","14"
28.26666667,"GFR",90,-90,"4","15"
17.3,"GFR",180,0,"4","15"
21.72222222,"GFR",90,-90,"4","15"
15.43333333,"GFR",180,0,"4","15"
33.48888889,"GFR",90,-90,"4","15"
18.42777778,"GFR",180,0,"4","15"
1.138888889,"GFR",180,0,"4","16"
4.877777778,"GFR",90,-90,"4","16"
7.027777778,"GFR",180,0,"4","16"
7.788888889,"GFR",90,-90,"4","16"
5.144444444,"GFR",180,0,"4","16"
44.66666667,"GFR",90,-90,"4","17"
27.62222222,"GFR",180,0,"4","17"
59.64444444,"GFR",90,-90,"4","17"
26.22777778,"GFR",180,0,"4","17"
53.78888889,"GFR",90,-90,"4","17"
29.92222222,"GFR",180,0,"4","17"
4.188888889,"GFR",90,-90,"4","19"
6.477777778,"GFR",180,0,"4","19"
17.33333333,"GFR",90,-90,"4","19"
12.46111111,"GFR",180,0,"4","19"
10.28888889,"GFR",180,0,"4","19"
17.03333333,"GFR",90,-90,"4","20"
9.394444444,"GFR",180,0,"4","20"
9.555555556,"GFR",90,-90,"4","20"
1.388888889,"GFR",180,0,"4","20"
16.55555556,"GFR",90,-90,"4","20"
9.516666667,"GFR",180,0,"4","20"
1.177777778,"GFR",180,0,"4","21"
60.25555556,"GFR",90,-90,"4","22"
