"Ncl","env","est","se","lwr","upr","pct","pct_lwr","pct_upr","k","n_ref","n_sy","n_lab"
"0_100","Normal",0.365683402795145,0.022356107116533,0.32186543284674,0.40950137274355,44.149879591386,37.9699101284256,50.6066631982968,390,68,187,"n=390"
"0_100","PFR",0.27719298528788,0.0241628756293749,0.229833749054305,0.324552221521455,31.9420975303484,25.8390783880072,38.341104557605,182,46,89,"n=182"
"0_100","GFR",0.282709550004599,0.0265565715228143,0.230658669819883,0.334760430189315,32.6719760101683,25.9429284850522,39.7605521022308,210,41,101,"n=210"
"100_200","Normal",0.510604904175623,0.0217314214027259,0.468011318226281,0.553198490124966,66.6298841277349,59.6815475703658,73.8805685872197,679,116,308,"n=679"
"100_200","PFR",0.438655215423016,0.0226045677874842,0.394350262559547,0.482960168286485,55.0620565155402,48.3420044191089,62.0865341882308,552,113,226,"n=552"
"100_200","GFR",0.445182218298625,0.0255684892665961,0.395067979336097,0.495296457261154,56.0774571609621,48.4485101802614,64.0984648768205,454,73,172,"n=454"
"200_300","Normal",0.59255175147362,0.0220175350195103,0.54939738283538,0.63570612011186,80.8597623771325,73.2208844498196,88.8355076295011,493,91,217,"n=493"
"200_300","PFR",0.510191609912304,0.0227029368655256,0.465693853655874,0.554689366168734,66.5610311817712,59.3119197064914,74.1399963006319,489,102,188,"n=489"
"200_300","GFR",0.521491600897459,0.0258398312391505,0.470845531668724,0.572137670126194,68.4538435730563,60.1347611075698,77.2051066131344,327,62,129,"n=327"
"300_400","Normal",0.649933800887587,0.0244272671403157,0.602056357292568,0.697811244482606,91.541402610839,82.586958282631,100.934991519696,146,43,85,"n=146"
"300_400","PFR",0.507293981109805,0.0241469130906235,0.459966031452183,0.554621930767427,66.0790977098026,58.4020177215468,74.1282534960426,200,53,102,"n=200"
"300_400","GFR",0.576535299752901,0.029401475722224,0.518908407337342,0.63416219216846,77.9861050522639,68.0192562424209,88.5441841616563,84,25,50,"n=84"
"400_600","Normal",0.589636918915898,0.0318659812137632,0.527179595736922,0.652094242094874,80.3333540221876,69.4147383576015,91.9556638823713,44,10,19,"n=44"
"400_600","PFR",0.496712170767756,0.0374734198658963,0.4232642678306,0.570160073704913,64.330945814332,52.6937763182543,76.8550127147819,33,9,17,"n=33"
"400_600","GFR",0.415710007092063,0.0967694215332477,0.226041940886897,0.605378073297228,51.5446336453076,25.362824245594,83.1944687342001,34,3,6,"n=34"
