region,year,Area_sum,N_total_sum,N_synth_sum,N_manure_sum,N_residue_sum,N_total_rate,N_synth_rate,N_manure_rate,N_residue_rate,mean_N_total,min_N,max_N
East_Africa,2011,5173578.929,526707733.4,346768501.5,87950080.54,91989151.36,101.8072287,67.02681186,16.99985286,17.78056402,,,
East_Africa,2012,5359615.552,533439459.6,338495948.9,93338875.58,101604635.1,99.52942601,63.15675921,17.41521844,18.95744836,,,
East_Africa,2013,5244689.937,578292576.3,375339412.7,98684240.22,104268923.3,110.2624909,71.56560583,18.81602943,19.88085561,,,
East_Africa,2014,5452517.75,579677594.6,375023244.9,100818374.4,103835975.3,106.3137474,68.77983017,18.4902423,19.04367488,,,
East_Africa,2015,5140940.09,603059895.8,403104584.0,99579754.7,100375557.1,117.3053732,78.41067527,19.36995043,19.52474749,,,
East_Africa,2016,5482242.17,657169165.5,449382705.9,106232048.5,101554411.0,119.8723342,81.97060472,19.37748192,18.52424754,,,
East_Africa,2017,5680599.038,779128681.7,543235779.7,114890182.5,121002719.4,137.1560775,95.6300165,20.22501179,21.30104917,,,
East_Africa,2018,5316357.143,594107194.1,387787802.1,115317177.9,91002214.17,111.7508057,72.94239112,21.69101412,17.11740045,,,
East_Africa,2019,5978957.469,812855527.1,561831381.4,121599943.6,129424202.1,135.9527194,93.96811807,20.33798438,21.64661696,,,
East_Africa,2020,5959101.887,831218147.3,581564769.6,115675613.7,133977763.9,139.4871514,97.59268773,19.41158515,22.48287854,117.9,68.0,168.0
Europe,2011,3816632.335,1098360681.0,688554849.8,195857948.1,213947882.6,287.7826796,180.409007,51.31695456,56.05671801,,,
Europe,2012,4027798.657,1177457851.0,763023907.5,207146258.6,207287685.0,292.3328476,189.4394364,51.42914933,51.4642619,,,
Europe,2013,4099894.125,1297327138.0,827046675.9,224225396.5,246055065.1,316.4294243,201.7239106,54.69053339,60.01498029,,,
Europe,2014,3996175.638,1284050339.0,810490319.7,223088318.5,250471701.3,321.3197957,202.8164908,55.82545381,62.67785103,,,
Europe,2015,3755753.895,1201766136.0,774660675.3,209244861.3,217860599.7,319.9800014,206.259701,55.713145,58.00715536,,,
Europe,2016,3379322.292,1147192755.0,734823241.6,195043189.2,217326323.7,339.4742068,217.4469252,57.71665805,64.31062353,,,
Europe,2017,3292979.525,1147747246.0,739577173.5,203663198.0,204506875.0,348.5436936,224.592096,61.84769643,62.10390118,,,
Europe,2018,3224921.997,1105375221.0,701269216.7,204184395.5,199921609.3,342.760297,217.4530787,63.31452226,61.9926961,,,
Europe,2019,3424553.466,1165611964.0,734771776.2,210159855.3,220680332.6,340.3690366,214.5598787,61.36854259,64.44061533,,,
Europe,2020,3651889.542,1242540845.0,764396417.1,224558848.3,253585579.5,340.2460098,209.315317,61.49113923,69.43955358,324.9,275.0,375.0
North_America_Irrigated,2011,8060067.789,1958715601.0,1292584915.0,134138271.2,531992414.2,243.01478,160.3689881,16.64232543,66.00346648,,,
North_America_Irrigated,2012,8399493.529,1867334937.0,1253538181.0,126590250.1,487206505.4,222.3151825,149.2397342,15.07117657,58.00427178,,,
North_America_Irrigated,2013,8409940.232,2012496119.0,1282204874.0,131577253.4,598713991.5,239.2996934,152.4630186,15.64544453,71.19123026,,,
North_America_Irrigated,2014,7995547.61,1926839848.0,1215451243.0,126393060.5,584995544.9,240.9891032,152.0160097,15.80793045,73.16516309,,,
North_America_Irrigated,2015,7763289.78,1867987230.0,1184905891.0,123288368.7,559792970.4,240.6179962,152.6293524,15.8809438,72.10769999,,,
North_America_Irrigated,2016,8339347.369,2011127323.0,1218587072.0,132002508.0,660537742.8,241.1612364,146.1249925,15.82887751,79.20736642,,,
North_America_Irrigated,2017,7956816.634,1911615771.0,1192950215.0,130732758.5,587932797.7,240.2488154,149.9280767,16.43028418,73.89045453,,,
North_America_Irrigated,2018,7817367.152,1889013112.0,1181941272.0,129548040.2,577523799.9,241.6431357,151.1942894,16.57182497,73.87702134,,,
North_America_Irrigated,2019,7826553.121,1900062283.0,1213673281.0,133344602.0,553044400.0,242.7712754,155.071238,17.03746208,70.6625754,,,
North_America_Irrigated,2020,7937036.874,1896098060.0,1191357559.0,130423987.5,574316514.0,238.8924343,150.1010487,16.43232727,72.35905831,239.1,189.0,289.0
North_America_Rainfed,2011,22240650.87,4484014542.0,2944432870.0,301270287.9,1238311384.0,201.6134585,132.3896898,13.54592946,55.67783927,,,
North_America_Rainfed,2012,23161002.17,4331535271.0,2906522623.0,294344854.1,1130667794.0,187.0184735,125.4920924,12.70864067,48.81774051,,,
North_America_Rainfed,2013,23182072.06,4705805012.0,2998982025.0,304871468.5,1401951519.0,202.9932872,129.3664352,13.15117422,60.47567771,,,
North_America_Rainfed,2014,22037611.5,4529126712.0,2857599485.0,304151018.5,1367376208.0,205.5180395,129.6692014,13.80145115,62.04738696,,,
North_America_Rainfed,2015,21407267.25,4452100542.0,2837301849.0,302641684.0,1312157009.0,207.9714561,132.5391894,14.13733385,61.29493286,,,
