env_ID,reference_ID,continent,country,region,site_year_ID,EDH35_total,EDH35_label,Label_of_control_treatment,Label_of_N_addition_treatment,N_rate,region_N_label,mean_c,sd_c,n_c,mean_t,sd_t,n_t,lnRR,Effect,AEN,Nc,q05,q95,keep
2005_04_10_42.08_0.65,1,Europe,Spain,Europe,1,0.71792,PFR_L,N0,N100,100,,5.5,,4,10.78,,4,0.672944473,96,52.8,-81.239693833549,0.09016234845,1.09034654395,True
2005_04_10_42.08_0.65,1,Europe,Spain,Europe,1,0.71792,PFR_L,N0,N150,150,,5.5,,4,12.53,,4,0.823377677,127.8181818,46.86666667,-31.239693833549,0.09016234845,1.09034654395,True
2005_04_10_42.08_0.65,1,Europe,Spain,Europe,1,0.71792,PFR_L,N0,N200,200,,5.5,,4,13.6,,4,0.905321701,147.2727273,40.5,18.760306166451,0.09016234845,1.09034654395,True
2005_04_10_42.08_0.65,1,Europe,Spain,Europe,1,0.71792,PFR_L,N0,N250,250,,5.5,,4,13.19,,4,0.874710874,139.8181818,30.76,68.760306166451,0.09016234845,1.09034654395,True
2005_04_10_42.08_0.65,1,Europe,Spain,Europe,1,0.71792,PFR_L,N0,N300,300,RN,5.5,,4,13.35,,4,0.886768293,142.7272727,26.16666667,118.760306166451,0.09016234845,1.09034654395,True
2006_04_12_42.08_0.65,1,Europe,Spain,Europe,2,1.7286,GFR_L,N0,N100,100,,6.28,,4,10.89,,4,0.550474956,73.40764331,46.1,-81.239693833549,0.08715959285,1.21120820025,True
2006_04_12_42.08_0.65,1,Europe,Spain,Europe,2,1.7286,GFR_L,N0,N150,150,,6.28,,4,11.66,,4,0.6187942,85.66878981,35.86666667,-31.239693833549,0.08715959285,1.21120820025,True
2006_04_12_42.08_0.65,1,Europe,Spain,Europe,2,1.7286,GFR_L,N0,N200,200,,6.28,,4,12.22,,4,0.665703973,94.58598726,29.7,18.760306166451,0.08715959285,1.21120820025,True
2006_04_12_42.08_0.65,1,Europe,Spain,Europe,2,1.7286,GFR_L,N0,N250,250,,6.28,,4,12.78,,4,0.710511468,103.5031847,26,68.760306166451,0.08715959285,1.21120820025,True
2006_04_12_42.08_0.65,1,Europe,Spain,Europe,2,1.7286,GFR_L,N0,N300,300,RN,6.28,,4,13.25,,4,0.746627572,110.9872611,23.23333333,118.760306166451,0.08715959285,1.21120820025,True
2007_04_13_42.08_0.65,1,Europe,Spain,Europe,3,3.33839,GFR_L,N0,N100,100,,6.33,,4,11.5107,,4,0.597976801,81.8436019,51.807,-81.239693833549,0.08715959285,1.21120820025,True
2007_04_13_42.08_0.65,1,Europe,Spain,Europe,3,3.33839,GFR_L,N0,N150,150,,6.33,,4,12.4338,,4,0.675118335,96.42654028,40.692,-31.239693833549,0.08715959285,1.21120820025,True
2007_04_13_42.08_0.65,1,Europe,Spain,Europe,3,3.33839,GFR_L,N0,N200,200,,6.33,,4,12.4851,,4,0.679235697,97.23696682,30.7755,18.760306166451,0.08715959285,1.21120820025,True
2007_04_13_42.08_0.65,1,Europe,Spain,Europe,3,3.33839,GFR_L,N0,N250,250,,6.33,,4,13.1005,,4,0.727350161,106.9589258,27.082,68.760306166451,0.08715959285,1.21120820025,True
2007_04_13_42.08_0.65,1,Europe,Spain,Europe,3,3.33839,GFR_L,N0,N300,300,RN,6.33,,4,13.562,,4,0.761971528,114.2496051,24.10666667,118.760306166451,0.08715959285,1.21120820025,True
2010_04_09_42.08_0.65,1,Europe,Spain,Europe,4,0,,N0,N100,100,,3.93,,4,9.62,,4,0.895204839,144.783715,56.9,-81.239693833549,0.1029016792,1.21737465,True
2010_04_09_42.08_0.65,1,Europe,Spain,Europe,4,0,,N0,N150,150,,3.93,,4,11.72,,4,1.092657358,198.2188295,51.93333333,-31.239693833549,0.1029016792,1.21737465,True
2010_04_09_42.08_0.65,1,Europe,Spain,Europe,4,0,,N0,N200,200,,3.93,,4,11.77,,4,1.096914495,199.4910941,39.2,18.760306166451,0.1029016792,1.21737465,True
2010_04_09_42.08_0.65,1,Europe,Spain,Europe,4,0,,N0,N250,250,,3.93,,4,12.7,,4,1.172962568,223.1552163,35.08,68.760306166451,0.1029016792,1.21737465,True
2010_04_09_42.08_0.65,1,Europe,Spain,Europe,4,0,,N0,N300,300,RN,3.93,,4,12.85,,4,1.184704385,226.9720102,29.73333333,118.760306166451,0.1029016792,1.21737465,True
2011_04_11_42.08_0.65,1,Europe,Spain,Europe,5,2.20574,GFR_L,N0,N100,100,,5.21,,4,9.92945,,4,0.644925233,90.58445298,47.1945,-81.239693833549,0.08715959285,1.21120820025,True
2011_04_11_42.08_0.65,1,Europe,Spain,Europe,5,2.20574,GFR_L,N0,N150,150,,5.21,,4,12.7501,,4,0.894959259,144.7236084,50.26733333,-31.239693833549,0.08715959285,1.21120820025,True
2011_04_11_42.08_0.65,1,Europe,Spain,Europe,5,2.20574,GFR_L,N0,N200,200,,5.21,,4,13.9295,,4,0.983429038,167.3608445,43.5975,18.760306166451,0.08715959285,1.21120820025,True
2011_04_11_42.08_0.65,1,Europe,Spain,Europe,5,2.20574,GFR_L,N0,N250,250,,5.21,,4,14.2885,,4,1.008875162,174.2514395,36.314,68.760306166451,0.08715959285,1.21120820025,True
2011_04_11_42.08_0.65,1,Europe,Spain,Europe,5,2.20574,GFR_L,N0,N300,300,RN,5.21,,4,15.6218,,4,1.098087519,199.8426104,34.706,118.760306166451,0.08715959285,1.21120820025,True
2012_04_10_42.08_0.65,1,Europe,Spain,Europe,6,13.18808,GFR_M,N0,N100,100,,6.34,,4,10.9081,,4,0.542626864,72.05205047,45.681,-81.239693833549,0.08715959285,1.21120820025,True
2012_04_10_42.08_0.65,1,Europe,Spain,Europe,6,13.18808,GFR_M,N0,N150,150,,6.34,,4,12.703,,4,0.694959418,100.362776,42.42,-31.239693833549,0.08715959285,1.21120820025,True
2012_04_10_42.08_0.65,1,Europe,Spain,Europe,6,13.18808,GFR_M,N0,N200,200,,6.34,,4,13.3697,,4,0.746112184,110.8785489,35.1485,18.760306166451,0.08715959285,1.21120820025,True
2012_04_10_42.08_0.65,1,Europe,Spain,Europe,6,13.18808,GFR_M,N0,N250,250,,6.34,,4,13.7287,,4,0.772609764,116.5410095,29.5548,68.760306166451,0.08715959285,1.21120820025,True
2012_04_10_42.08_0.65,1,Europe,Spain,Europe,6,13.18808,GFR_M,N0,N300,300,RN,6.34,,4,14.0363,,4,0.794768063,121.3927445,25.65433333,118.760306166451,0.08715959285,1.21120820025,True
2013_04_09_42.08_0.65,1,Europe,Spain,Europe,7,0,,N0,N100,100,,5.73,,4,10.3483,,4,0.591106724,80.59860384,46.183,-81.239693833549,0.1029016792,1.21737465,True
2013_04_09_42.08_0.65,1,Europe,Spain,Europe,7,0,,N0,N150,150,,5.73,,4,12.3996,,4,0.771948683,116.3979058,44.464,-31.239693833549,0.1029016792,1.21737465,True
2013_04_09_42.08_0.65,1,Europe,Spain,Europe,7,0,,N0,N200,200,,5.73,,4,14.092,,4,0.89989173,145.9336824,41.81,18.760306166451,0.1029016792,1.21737465,True
2013_04_09_42.08_0.65,1,Europe,Spain,Europe,7,0,,N0,N250,250,,5.73,,4,14.6561,,4,0.9391411,155.7783595,35.7044,68.760306166451,0.1029016792,1.21737465,True
2013_04_09_42.08_0.65,1,Europe,Spain,Europe,7,0,,N0,N300,300,RN,5.73,,4,15.1688,,4,0.973525156,164.7260035,31.46266667,118.760306166451,0.1029016792,1.21737465,True
2014_04_13_42.08_0.65,1,Europe,Spain,Europe,8,0,,N0,N100,100,,4.15,,4,9.17307,,4,0.793163683,121.0378313,50.2307,-81.239693833549,0.1029016792,1.21737465,True
