col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14
"model: lnRR ~ env_group * continent + ns(N_rate, df = 4), random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,
(Intercept),1,948,988.7044,<.0001,,,,,,,,,
env_group,2,948,5.6444,0.0037,,,,,,,,,
continent,4,227,5.15,0.0005,,,,,,,,,
"ns(Nc, df = 4)",4,948,23.9819,<.0001,,,,,,,,,
env_group:continent,8,948,2.3278,0.0178,,,,,,,,,
env_group,continent,emmean,SE,df,lower.CL,upper.CL,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
Normal,Africa,0.710976647908993,0.0775312727979096,231,0.558217815438058,0.863735480379929,103.597872232456,74.7555257369244,137.200474221258,69,9,28,n=69
PFR,Africa,0.675697531593021,0.122394294458586,231,0.434545686048939,0.916849377137103,96.5403428931874,54.4261320096729,150.139700333568,5,3,3,n=5
GFR,Africa,0.824608127667931,0.101781163304335,231,0.624070059443117,1.02514619589274,128.098673457669,86.6509407315511,178.750295226095,14,4,9,n=14
Normal,Asia,0.508006067871753,0.0293806932309934,227,0.450112307599515,0.565899828143991,66.1974025533753,56.848832875794,76.1031695872533,259,63,125,n=259
PFR,Asia,0.391169872803705,0.0253087029846047,227,0.34129984516779,0.44103990043962,47.8709684638958,40.6774992312554,55.4322719264856,458,90,174,n=458
GFR,Asia,0.442203487868154,0.0382259309418242,227,0.366880456354569,0.51752651938174,55.6132362275628,44.3225380379279,67.7872328080279,204,36,58,n=204
Normal,Europe,0.613301484912523,0.127200523904202,227,0.362656730565999,0.863946239259047,84.6517596494015,43.714244748494,137.250471595841,10,4,10,n=10
PFR,Europe,0.531817389146029,0.127272525981507,227,0.281030756901327,0.78260402139073,70.2022737161101,32.449434065053,118.716026856751,8,5,7,n=8
GFR,Europe,0.4739492660755,0.113445194476435,227,0.250408969002867,0.697489563148133,60.632548976402,28.455065067695,100.870364878631,17,6,15,n=17
Normal,North America,0.597257698543615,0.0386071843500182,227,0.521183418812589,0.673331978274641,81.712884645659,68.4019371150706,96.0759657039099,254,32,93,n=254
PFR,North America,0.596577373936999,0.0511474515874875,227,0.495792879934038,0.69736186793996,81.589302941499,64.1799472985583,100.844716333205,102,18,34,n=102
GFR,North America,0.588126377934252,0.0463384315980695,227,0.49681791120617,0.679434844662334,80.0611587334052,64.3483231593152,97.2762499863624,133,21,49,n=133
Normal,South America,0.542275156941965,0.0701708527884299,227,0.404005630845609,0.680544683038321,71.9915491796683,49.7812380884662,97.4953162808723,36,14,19,n=36
PFR,South America,0.623780212411098,0.0868833317975923,227,0.45257925594636,0.794981168875836,86.5968483499933,57.2362485154685,121.439929678334,22,7,9,n=22
GFR,South America,0.386450003002654,0.0980382816913749,227,0.193268557857063,0.579631448148246,47.1746812305424,21.3208566465499,78.5380304263433,10,4,9,n=10
contrast,g1,g2,continent,estimate,SE,df,t.ratio,p.value,p_lab,,,,
Normal - PFR,Normal,PFR,Africa,0.0352791163159726,0.113864379273204,952,0.309834528947147,0.948463024884218,0.948,,,,
Normal - GFR,Normal,GFR,Africa,-0.113631479758938,0.0891895577372328,952,-1.27404465995576,0.410217009811026,0.41,,,,
PFR - GFR,PFR,GFR,Africa,-0.14891059607491,0.126858339523862,952,-1.17383371588985,0.469122623070422,0.469,,,,
Normal - PFR,Normal,PFR,Asia,0.116836195068048,0.0321740160704098,952,3.63138362374045,0.000866231791513683,<0.001,,,,
Normal - GFR,Normal,GFR,Asia,0.0658025800035988,0.0434499066103906,952,1.51444698359519,0.284537319699877,0.285,,,,
PFR - GFR,PFR,GFR,Asia,-0.0510336150644495,0.0402616959545428,952,-1.26754757479836,0.413936815733175,0.414,,,,
Normal - PFR,Normal,PFR,Europe,0.0814840957664944,0.12376361144383,403,0.658384922804841,0.787710206253514,0.788,,,,
Normal - GFR,Normal,GFR,Europe,0.139352218837023,0.104026651081503,403,1.33958189933312,0.374082758813234,0.374,,,,
PFR - GFR,PFR,GFR,Europe,0.0578681230705286,0.0948218695817515,403,0.610282451988959,0.814587348012738,0.815,,,,
Normal - PFR,Normal,PFR,North America,0.000680324606616219,0.0523818923244689,403,0.0129877821595693,0.999907004850728,1,,,,
Normal - GFR,Normal,GFR,North America,0.00913132060936306,0.0457325259239635,403,0.199667969894012,0.978262798397196,0.978,,,,
PFR - GFR,PFR,GFR,North America,0.00845099600274684,0.0565475035734011,403,0.149449497656021,0.987762440747539,0.988,,,,
Normal - PFR,Normal,PFR,South America,-0.0815050554691328,0.0893448466986356,952,-0.912252451941108,0.632674796206621,0.633,,,,
Normal - GFR,Normal,GFR,South America,0.155825153939311,0.103596162351593,952,1.50415952099132,0.2893923645488,0.289,,,,
PFR - GFR,PFR,GFR,South America,0.237330209408444,0.0842092522447975,952,2.8183388770455,0.0136470842370936,0.014,,,,
