continent,env_group,n,mean,sd,median,q25,q75,p05,p95
Africa,Normal,117,80.6837606837607,39.5715522977376,80,50,100,30,150
Africa,PFR,20,206.75,102.959815871099,240,112.5,280,44.75,321.5
Africa,GFR,38,168.947368421053,100.942570605544,150,82.5,270,45,320
Asia,Normal,622,222.234726688103,103.002993717758,207.75,150,300,80,405
Asia,PFR,980,209.406326530612,85.9601344210138,200,150,250,82,360
Asia,GFR,424,209.707547169811,100.60488141799,200,137.25,250,50,405
Europe,Normal,59,171.694915254237,77.4853165705892,180,100,200,60,300
Europe,PFR,54,181.481481481481,82.3732280974696,190,120,236.25,60,300
Europe,GFR,113,163.486725663717,82.9185395265661,150,100,220,30,300
North America,Normal,695,149.710791366906,69.2855145053149,135,90,201,50,268
North America,PFR,331,164.930513595166,82.5237046167634,140,106.5,224,56,291
North America,GFR,549,154.289617486339,71.9768179278162,140,90,201,56,291
South America,Normal,83,150.397590361446,68.3595122931118,140,100,180,50,268
South America,PFR,55,148.6,57.182812750634,180,95,200,50,200
South America,GFR,30,158.766666666667,66.370788824568,149,120,200,69,276
