continent,env_group,n,mean,sd,median,q25,q75,p05,p95
Africa,Normal,43,1.73115585613953,0.799379266195318,1.640569767,1.0245,2.3075197675,0.6923,3.09783
Africa,PFR,4,2.3913375,0.0612874018457301,2.3875,2.3630125,2.415825,2.3294425,2.458605
Africa,GFR,10,1.30954,0.827929481967583,1.2285,0.70225,1.56,0.3894,2.67897
Asia,Normal,227,6.73798574537004,2.95377967532852,6.183333333,4.253,9,2.652316,12.292903228
Asia,PFR,335,6.3867099319194,2.55814176978064,6.426,4.823928387,7.95546,2.1108,10.63176
Asia,GFR,171,5.7487091949883,2.103514992335,5.6,4.275,7.22237,2.42546,9.3269615385
Europe,Normal,17,6.44065568629412,2.52160496668107,5.4,4.7,8.35556,3.9271488,11.58944
Europe,PFR,16,7.2287663020625,3.48508120874194,5.946545,5.2477325,8.455480625,3.784089,14.5
Europe,GFR,31,7.55391425806452,3.58768858997798,6.41758,5.45861,8.265,3.3847306665,15
North America,Normal,215,6.06622249274419,2.25229185960843,6.13027,4.557306774,7.50958,1.923636,9.7
North America,PFR,85,5.59479161305882,2.06884709887611,5.64516129,4.263018065,6.5662744,2.618,8.6808672
North America,GFR,153,5.10377914415033,2.29525128773731,5.166451613,3.21,6.521377333,1.8945233548,9.068387097
South America,Normal,33,6.81118219918182,2.27431540273295,7.062,6.1,8.242,2.084676,9.93292
South America,PFR,30,7.12108831346667,2.2738727648157,6.674,5.722086207,8.90697674425,3.71366896555,10.4244186055
South America,GFR,19,6.10001859578947,2.18310581949034,6.505655172,5.0479310345,7.8488372095,2.7024827585,9.274
continent,group1,group2,p_value,p_adj_bh,,,,,
Africa,Normal,PFR,0.0591301544421742,0.155814235594628,,,,,
Africa,Normal,GFR,0.165509548613761,0.165509548613761,,,,,
Africa,PFR,GFR,0.103876157063085,0.155814235594628,,,,,
Asia,Normal,PFR,0.418997183446936,0.418997183446936,,,,,
Asia,Normal,GFR,0.0046047132551105,0.00858192815212695,,,,,
Asia,PFR,GFR,0.0057212854347513,0.00858192815212695,,,,,
Europe,Normal,PFR,0.438537501701311,0.597772947698514,,,,,
Europe,Normal,GFR,0.310949571189086,0.597772947698514,,,,,
Europe,PFR,GFR,0.597772947698514,0.597772947698514,,,,,
North America,Normal,PFR,0.0355721856692056,0.0533582785038084,,,,,
North America,Normal,GFR,3.90715675036143e-05,0.000117214702510843,,,,,
North America,PFR,GFR,0.0976409850315112,0.0976409850315112,,,,,
South America,Normal,PFR,0.852581567432509,0.852581567432509,,,,,
South America,Normal,GFR,0.18336819234521,0.275052288517815,,,,,
South America,PFR,GFR,0.17554424733811,0.275052288517815,,,,,
