continent,env_group,n,mean,sd,median,q25,q75,p05,p95
Africa,Normal,40,1.75766014535,0.785105101696812,1.6452848835,1.05251337225,2.30207965125,0.82235,3.114134
Africa,PFR,3,2.36535,0.0397758406573639,2.377,2.349025,2.3875,2.326645,2.3959
Africa,GFR,9,1.15611111111111,0.711562267908516,1.207,0.639,1.32,0.3828,2.255
Asia,Normal,183,6.26162036518033,2.72574776849021,5.65,4.11368,8.52394,2.5689,10.992903226
Asia,PFR,263,6.61043388145627,2.43011454124149,6.56962,5.12979,8.0939541025,2.7257,10.58006
Asia,GFR,112,5.68328925301786,2.29864679119784,5.41895,3.975,7.314685,2.440638,9.604322
Europe,Normal,10,6.440736,2.41851763452648,5.45,5.1,7.69917,4.2765,10.36631
Europe,PFR,7,7.76950964285714,3.05176104118604,6.77895,5.645,8.49365375,5.381217,12.371
Europe,GFR,17,9.05621823529412,3.97332702263675,6.59341,6.33,11,5.158634,16.4
North America,Normal,168,6.13972841385714,2.08492868732836,6.182348871,4.728748226,7.50958,2.5393,9.33
North America,PFR,67,5.77735090759701,1.56168687707696,5.82,4.731232903,6.5661978665,3.4188063227,8.2123281333
North America,GFR,82,5.60147912810976,2.1628002189153,5.767096774,3.9555375,7.033734845,2.3379999997,9.11050761275
South America,Normal,26,6.64707147926923,2.45939343584233,7.1515,4.97497923075,8.7205,1.997645,9.65475
South America,PFR,19,7.30675848573684,2.09181339455392,6.867,5.883,9.069767442,4.1338517083,10.053855814
South America,GFR,9,4.63421315066667,2.18159199659481,4.595862069,3.051034483,5.501,2.311448276,7.7988363076
continent,group1,group2,p_value,p_adj_bh,,,,,
Africa,Normal,PFR,0.100014143550882,0.100014143550882,,,,,
Africa,Normal,GFR,0.04136274676364,0.0966865774060138,,,,,
Africa,PFR,GFR,0.0644577182706759,0.0966865774060138,,,,,
Asia,Normal,PFR,0.0721106358024381,0.108165953703657,,,,,
Asia,Normal,GFR,0.134543913130647,0.134543913130647,,,,,
Asia,PFR,GFR,0.000736413926909968,0.00220924178072991,,,,,
Europe,Normal,PFR,0.171331632691428,0.256997449037142,,,,,
Europe,Normal,GFR,0.032823495404407,0.0984704862132211,,,,,
Europe,PFR,GFR,0.567595289944469,0.567595289944469,,,,,
North America,Normal,PFR,0.113317000633785,0.169975500950677,,,,,
North America,Normal,GFR,0.0555983299316197,0.166794989794859,,,,,
North America,PFR,GFR,0.642907811362472,0.642907811362472,,,,,
South America,Normal,PFR,0.51227826987374,0.51227826987374,,,,,
South America,Normal,GFR,0.0395644543137092,0.0593466814705639,,,,,
South America,PFR,GFR,0.00428666043185757,0.0128599812955727,,,,,
