col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14
"model: lnRR ~ env_group * continent + ns(N_rate, df = 4), random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,
(Intercept),1,695,706.246,<.0001,,,,,,,,,
env_group,2,695,7.9058,0.0004,,,,,,,,,
country,1,161,23.0154,<.0001,,,,,,,,,
"ns(Nc, df = 4)",4,695,3.0293,0.0171,,,,,,,,,
env_group:country,2,298,2.0443,0.1313,,,,,,,,,
env_group,country,emmean,SE,df,lower.CL,upper.CL,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
Normal,China,0.511870941701762,0.0310761828213155,162,0.450504312918257,0.573237570485267,66.8409774118304,56.9103305054311,77.4001218025057,230,58,120,n=230
PFR,China,0.371161914707394,0.0278553088997111,162,0.316155596501351,0.426168232913437,44.9417736437119,37.1843693099597,53.1378381710417,382,78,155,n=382
GFR,China,0.422648955658296,0.043937661293188,162,0.335884562306065,0.509413349010527,52.5998508787471,39.9177497664213,66.4314536725376,126,27,43,n=126
Normal,USA,0.639780922469417,0.0464755284848926,161,0.54800067274901,0.731561172189823,89.6065448464558,72.9791139742733,107.832269588095,193,20,65,n=193
PFR,USA,0.626682163958687,0.052562605079759,161,0.522881106123625,0.730483221793748,87.1391298195521,68.6880737634194,107.608357415565,102,18,34,n=102
GFR,USA,0.635194840092374,0.0492753125886674,161,0.537885554068675,0.732504126116073,88.7389844847609,71.2382291786471,108.028338270044,131,19,47,n=131
contrast,g1,g2,country,estimate,SE,df,t.ratio,p.value,p_lab,,,,
Normal - PFR,Normal,PFR,China,0.140709026994368,0.0337361530053006,695,4.17086758446523,0.00010121646144301,<0.001,,,,
Normal - GFR,Normal,GFR,China,0.0892219860434661,0.048280425686405,695,1.84799501609592,0.154918651850089,0.155,,,,
PFR - GFR,PFR,GFR,China,-0.0514870409509016,0.0457507906055295,695,-1.12538035451302,0.498720281916594,0.499,,,,
Normal - PFR,Normal,PFR,USA,0.0130987585107299,0.0555142066100355,298,0.235953268732511,0.969778230695965,0.97,,,,
Normal - GFR,Normal,GFR,USA,0.00458608237704275,0.050254496687458,298,0.0912571546694507,0.995419281297373,0.995,,,,
PFR - GFR,PFR,GFR,USA,-0.00851267613368711,0.0583958838060743,298,-0.145775276934873,0.988353366481768,0.988,,,,
