col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14
"model: AEN ~ env_group * country + ns(N_rate, df = 3), random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,
(Intercept),1,689,948.5232,<.0001,,,,,,,,,
env_group,2,689,8.546,0.0002,,,,,,,,,
country,1,158,12.143,0.0006,,,,,,,,,
"ns(Nc, df = 4)",4,689,21.8777,<.0001,,,,,,,,,
env_group:country,2,297,0.8147,0.4438,,,,,,,,,
env_group,country,emmean,SE,df,lower.CL,upper.CL,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
Normal,China,19.4863496486235,1.00877290818395,159,17.4940269754178,21.4786723218292,19.4863496486235,17.4940269754178,21.4786723218292,228,57,122,n=228
PFR,China,15.3400710813135,0.88157227990893,159,13.5989691672126,17.0811729954144,15.3400710813135,13.5989691672126,17.0811729954144,379,78,153,n=379
GFR,China,16.8230954352915,1.47799818401927,159,13.9040546193763,19.7421362512068,16.8230954352915,13.9040546193763,19.7421362512068,125,27,43,n=125
Normal,USA,23.8174839194648,1.5680338925537,158,20.7204726085382,26.9144952303915,23.8174839194648,20.7204726085382,26.9144952303915,191,19,63,n=191
PFR,USA,22.5095032431335,1.76579930240638,158,19.0218870389502,25.9971194473169,22.5095032431335,19.0218870389502,25.9971194473169,102,17,34,n=102
GFR,USA,22.6808155157583,1.67377672973961,158,19.3749523653597,25.986678666157,22.6808155157583,19.3749523653597,25.986678666157,128,18,45,n=128
contrast,g1,g2,country,estimate,SE,df,t.ratio,p.value,p_lab,,,,
Normal - PFR,Normal,PFR,China,4.14627856730999,1.15308248106579,689,3.59582131841739,0.00100878650058445,0.001,,,,
Normal - GFR,Normal,GFR,China,2.66325421333198,1.65985484991,689,1.60451030611284,0.244381919774178,0.244,,,,
PFR - GFR,PFR,GFR,China,-1.48302435397801,1.57985623317522,689,-0.938708423485722,0.615956215594749,0.616,,,,
Normal - PFR,Normal,PFR,USA,1.3079806763313,1.91349401116315,297,0.683556190247087,0.773266891022247,0.773,,,,
Normal - GFR,Normal,GFR,USA,1.13666840370649,1.76714798168865,297,0.643221968666324,0.796339527112489,0.796,,,,
PFR - GFR,PFR,GFR,USA,-0.171312272624806,1.9795447485217,297,-0.0865412478059614,0.995879519981427,0.996,,,,
