env_ID,region,EDH35_label
2005_04_10_42.08_0.65,Europe,PFR_L
2005_04_10_42.08_0.65,Europe,PFR_L
2005_04_10_42.08_0.65,Europe,PFR_L
2005_04_10_42.08_0.65,Europe,PFR_L
2005_04_10_42.08_0.65,Europe,PFR_L
2006_04_12_42.08_0.65,Europe,GFR_L
2006_04_12_42.08_0.65,Europe,GFR_L
2006_04_12_42.08_0.65,Europe,GFR_L
2006_04_12_42.08_0.65,Europe,GFR_L
2006_04_12_42.08_0.65,Europe,GFR_L
2007_04_13_42.08_0.65,Europe,GFR_L
2007_04_13_42.08_0.65,Europe,GFR_L
2007_04_13_42.08_0.65,Europe,GFR_L
2007_04_13_42.08_0.65,Europe,GFR_L
2007_04_13_42.08_0.65,Europe,GFR_L
2010_04_09_42.08_0.65,Europe,
2010_04_09_42.08_0.65,Europe,
2010_04_09_42.08_0.65,Europe,
2010_04_09_42.08_0.65,Europe,
2010_04_09_42.08_0.65,Europe,
2011_04_11_42.08_0.65,Europe,GFR_L
2011_04_11_42.08_0.65,Europe,GFR_L
2011_04_11_42.08_0.65,Europe,GFR_L
2011_04_11_42.08_0.65,Europe,GFR_L
2011_04_11_42.08_0.65,Europe,GFR_L
2012_04_10_42.08_0.65,Europe,GFR_M
2012_04_10_42.08_0.65,Europe,GFR_M
2012_04_10_42.08_0.65,Europe,GFR_M
2012_04_10_42.08_0.65,Europe,GFR_M
2012_04_10_42.08_0.65,Europe,GFR_M
2013_04_09_42.08_0.65,Europe,
2013_04_09_42.08_0.65,Europe,
2013_04_09_42.08_0.65,Europe,
2013_04_09_42.08_0.65,Europe,
2013_04_09_42.08_0.65,Europe,
2014_04_13_42.08_0.65,Europe,
2014_04_13_42.08_0.65,Europe,
2014_04_13_42.08_0.65,Europe,
2014_04_13_42.08_0.65,Europe,
2014_04_13_42.08_0.65,Europe,
2014_04_13_42.08_0.65,Europe,
2015_04_09_42.08_0.65,Europe,PFR_M
2015_04_09_42.08_0.65,Europe,PFR_M
2015_04_09_42.08_0.65,Europe,PFR_M
2015_04_09_42.08_0.65,Europe,PFR_M
2015_04_09_42.08_0.65,Europe,PFR_M
2015_04_09_42.08_0.65,Europe,PFR_M
1996_11_20_13_12,West Africa,PFR_L
1996_11_20_13_12,West Africa,PFR_L
1996_11_20_13_12,West Africa,PFR_L
1996_11_20_13_12,West Africa,PFR_L
1997_11_22_13_12,West Africa,GFR_H
1997_11_22_13_12,West Africa,GFR_H
1997_11_22_13_12,West Africa,GFR_H
1997_11_22_13_12,West Africa,GFR_H
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2004_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_05_20_45.37__75.72,North America_Rainfed,
2005_03_30_36.14__97.11,North America_Irrigated,GFR_M
2005_03_30_36.14__97.11,North America_Irrigated,GFR_M
2005_03_30_36.14__97.11,North America_Irrigated,GFR_M
2005_03_30_36.14__97.11,North America_Irrigated,GFR_M
2005_03_30_36.14__97.11,North America_Irrigated,GFR_M
2005_03_30_36.14__97.11,North America_Irrigated,GFR_M
2006_03_30_36.14__97.11,North America_Irrigated,GFR_H
2006_03_30_36.14__97.11,North America_Irrigated,GFR_H
2006_03_30_36.14__97.11,North America_Irrigated,GFR_H
2006_03_30_36.14__97.11,North America_Irrigated,GFR_H
2006_03_30_36.14__97.11,North America_Irrigated,GFR_H
2006_03_30_36.14__97.11,North America_Irrigated,GFR_H
2007_03_21_36.14__97.11,North America_Irrigated,GFR_M
2007_03_21_36.14__97.11,North America_Irrigated,GFR_M
2007_03_21_36.14__97.11,North America_Irrigated,GFR_M
2007_03_21_36.14__97.11,North America_Irrigated,GFR_M
2007_03_21_36.14__97.11,North America_Irrigated,GFR_M
2005_04_12_36.15__97.29,North America_Irrigated,GFR_H
2005_04_12_36.15__97.29,North America_Irrigated,GFR_H
2005_04_12_36.15__97.29,North America_Irrigated,GFR_H
2005_04_12_36.15__97.29,North America_Irrigated,GFR_H
2005_04_12_36.15__97.29,North America_Irrigated,GFR_H
2005_04_12_36.15__97.29,North America_Irrigated,GFR_H
2006_03_31_36.15__97.29,North America_Irrigated,GFR_H
2006_03_31_36.15__97.29,North America_Irrigated,GFR_H
2006_03_31_36.15__97.29,North America_Irrigated,GFR_H
2006_03_31_36.15__97.29,North America_Irrigated,GFR_H
2006_03_31_36.15__97.29,North America_Irrigated,GFR_H
2006_03_31_36.15__97.29,North America_Irrigated,GFR_H
2007_03_21_36.15__97.29,North America_Irrigated,GFR_H
2007_03_21_36.15__97.29,North America_Irrigated,GFR_H
2007_03_21_36.15__97.29,North America_Irrigated,GFR_H
2007_03_21_36.15__97.29,North America_Irrigated,GFR_H
2007_03_21_36.15__97.29,North America_Irrigated,GFR_H
2005_04_04_35.82__95.66,North America_Irrigated,GFR_M
2005_04_04_35.82__95.66,North America_Irrigated,GFR_M
2005_04_04_35.82__95.66,North America_Irrigated,GFR_M
2005_04_04_35.82__95.66,North America_Irrigated,GFR_M
2005_04_04_35.82__95.66,North America_Irrigated,GFR_M
2005_04_04_35.82__95.66,North America_Irrigated,GFR_M
2006_04_13_35.82__95.66,North America_Irrigated,GFR_H
2007_04_12_35.82__95.66,North America_Irrigated,GFR_H
2007_04_12_35.82__95.66,North America_Irrigated,GFR_H
2007_04_12_35.82__95.66,North America_Irrigated,GFR_H
2007_04_12_35.82__95.66,North America_Irrigated,GFR_H
2007_04_12_35.82__95.66,North America_Irrigated,GFR_H
2007_04_12_35.82__95.66,North America_Irrigated,GFR_H
2001_05_15_33.38_48.6,South Asia,GFR_M
2001_05_15_33.38_48.6,South Asia,GFR_M
2001_05_15_33.38_48.6,South Asia,GFR_M
2001_05_15_33.38_48.6,South Asia,GFR_M
2001_05_15_33.38_48.6,South Asia,GFR_M
2002_05_20_33.38_48.6,South Asia,GFR_M
2002_05_20_33.38_48.6,South Asia,GFR_M
2002_05_20_33.38_48.6,South Asia,GFR_M
2002_05_20_33.38_48.6,South Asia,GFR_M
2002_05_20_33.38_48.6,South Asia,GFR_M
1998_06_12_41.32__7.73,Europe,
1998_06_12_41.32__7.73,Europe,
1998_06_12_41.32__7.73,Europe,
2017_12_01__22.82__48.42,South America,
2017_12_01__22.82__48.42,South America,
2017_12_01__22.82__48.42,South America,
2017_12_01__22.82__48.42,South America,
2017_12_01__22.82__48.42,South America,
2017_12_01__22.82__48.42,South America,
1996_05_18_32.6_75.08,South Asia,PFR_H
1996_05_18_32.6_75.08,South Asia,PFR_H
1997_05_15_32.6_75.08,South Asia,PFR_H
1997_05_15_32.6_75.08,South Asia,PFR_H
2019_11_01__37.61__58.64,South America,
2019_11_01__37.61__58.64,South America,
2019_11_01__37.61__58.64,South America,
2019_10_24__37.08__59.59,South America,
2019_10_24__37.08__59.59,South America,
2019_10_24__37.08__59.59,South America,
2019_11_29__38.22__59.02,South America,
2019_11_15__38.29__59.02,South America,
2007_06_20_30.93_75.87,South Asia,PFR_M
2007_06_20_30.93_75.87,South Asia,PFR_M
2007_06_20_30.93_75.87,South Asia,PFR_M
2007_06_20_30.93_75.87,South Asia,PFR_M
2007_06_20_30.93_75.87,South Asia,PFR_M
2007_06_20_30.93_75.87,South Asia,PFR_M
2008_06_06_30.93_75.87,South Asia,PFR_M
2008_06_06_30.93_75.87,South Asia,PFR_M
2008_06_06_30.93_75.87,South Asia,PFR_M
2008_06_06_30.93_75.87,South Asia,PFR_M
2008_06_06_30.93_75.87,South Asia,PFR_M
2008_06_06_30.93_75.87,South Asia,PFR_M
2009_05_27_30.93_75.87,South Asia,PFR_H
2009_05_27_30.93_75.87,South Asia,PFR_H
2009_05_27_30.93_75.87,South Asia,PFR_H
2009_05_27_30.93_75.87,South Asia,PFR_H
2009_05_27_30.93_75.87,South Asia,PFR_H
2009_05_27_30.93_75.87,South Asia,PFR_H
2011_05_04_43.28_124.43,Northeast China,
2011_05_04_43.28_124.43,Northeast China,
2011_05_04_43.28_124.43,Northeast China,
2011_05_04_43.28_124.43,Northeast China,
2011_05_04_43.28_124.43,Northeast China,
2011_05_04_43.28_124.43,Northeast China,
1995_10_18__37.75__58.3,South America,
1996_10_20__37.75__58.3,South America,
1999_10_10__37.75__58.3,South America,
1999_10_10__37.75__58.3,South America,
1999_10_10__37.75__58.3,South America,
1999_10_10__37.75__58.3,South America,
2000_10_19__37.75__58.3,South America,PFR_L
2000_10_19__37.75__58.3,South America,PFR_L
2000_10_19__37.75__58.3,South America,PFR_L
2000_10_19__37.75__58.3,South America,PFR_L
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2016_05_20_40.47__86.99,North America_Rainfed,
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2019_05_09_31.58_105.05,Southwest China,GFR_M
2017_03_30_31.03_104.68,Southwest China,GFR_M
2017_03_30_31.03_104.68,Southwest China,GFR_M
2017_03_30_31.03_104.68,Southwest China,GFR_M
2017_03_30_31.03_104.68,Southwest China,GFR_M
2018_04_06_31.03_104.68,Southwest China,GFR_L
2018_04_06_31.03_104.68,Southwest China,GFR_L
2018_04_06_31.03_104.68,Southwest China,GFR_L
2018_04_06_31.03_104.68,Southwest China,GFR_L
2019_03_24_31.03_104.68,Southwest China,
2019_03_24_31.03_104.68,Southwest China,
2019_03_24_31.03_104.68,Southwest China,
2019_03_24_31.03_104.68,Southwest China,
2000_05_04_42.02__93.75,North America_Rainfed,
2000_05_04_42.02__93.75,North America_Rainfed,
2000_05_04_42.02__93.75,North America_Rainfed,
2001_05_09_42.02__93.75,North America_Rainfed,
2001_05_09_42.02__93.75,North America_Rainfed,
2001_05_09_42.02__93.75,North America_Rainfed,
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2018_04_17_38.6_103.07,Northwest China,GFR_H
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2019_04_19_38.6_103.07,Northwest China,GFR_M
2005_05_10_45.39__75.57,North America_Rainfed,
2005_05_10_45.39__75.57,North America_Rainfed,
2005_05_10_45.39__75.57,North America_Rainfed,
2005_05_10_45.39__75.57,North America_Rainfed,
2005_05_10_45.39__75.57,North America_Rainfed,
2006_05_12_45.39__75.57,North America_Rainfed,GFR_L
2006_05_12_45.39__75.57,North America_Rainfed,GFR_L
2006_05_12_45.39__75.57,North America_Rainfed,GFR_L
2006_05_12_45.39__75.57,North America_Rainfed,GFR_L
2006_05_12_45.39__75.57,North America_Rainfed,GFR_L
2007_05_13_45.39__75.57,North America_Rainfed,
2007_05_13_45.39__75.57,North America_Rainfed,
2007_05_13_45.39__75.57,North America_Rainfed,
2007_05_13_45.39__75.57,North America_Rainfed,
2007_05_13_45.39__75.57,North America_Rainfed,
2007_05_13_45.39__75.57,North America_Rainfed,
2008_05_12_45.39__75.57,North America_Rainfed,
2008_05_12_45.39__75.57,North America_Rainfed,
2008_05_12_45.39__75.57,North America_Rainfed,
2009_05_10_45.39__75.57,North America_Rainfed,
2009_05_10_45.39__75.57,North America_Rainfed,
2009_05_10_45.39__75.57,North America_Rainfed,
2009_05_10_45.39__75.57,North America_Rainfed,
2010_05_10_45.39__75.57,North America_Rainfed,
2010_05_10_45.39__75.57,North America_Rainfed,
2010_05_10_45.39__75.57,North America_Rainfed,
2010_05_10_45.39__75.57,North America_Rainfed,
2013_08_02_6.67__1.57,West Africa,
2013_08_02_6.67__1.57,West Africa,
2013_04_02_6.67__1.57,West Africa,PFR_L
2013_04_02_6.67__1.57,West Africa,PFR_L
2017_11_04__37.91__58.6,South America,PFR_L
2017_11_04__37.91__58.6,South America,PFR_L
2017_11_04__37.91__58.6,South America,PFR_L
2017_10_30__38.49__58.71,South America,
2017_10_30__38.49__58.71,South America,
2017_10_30__38.49__58.71,South America,
2017_11_02__37.88__57.84,South America,PFR_L
2017_11_02__37.88__57.84,South America,PFR_L
