region,year,Area_sum,N_total_sum,N_synth_sum,N_manure_sum,N_residue_sum,N_total_rate,N_synth_rate,N_manure_rate,N_residue_rate,Unnamed: 11
East_Africa,1990,3364567.266,391613250.9,256366824.9,67698239.94,67548186.04,116.3933487,76.19607654,20.1209352,20.07633692,
East_Africa,1991,3233526.797,393386295.1,263134794.8,62178782.57,68072717.73,121.6585851,81.37702616,19.22940074,21.05215822,
East_Africa,1992,3326978.327,381069146.7,254156529.3,61932413.66,64980203.7,114.539113,76.39260144,18.61521404,19.53129757,
East_Africa,1993,3304323.291,418906483.0,284196958.1,62677778.51,72031746.41,126.7752717,86.00761279,18.96841592,21.79924301,
East_Africa,1994,3598957.07,382808680.0,243768730.2,64831930.07,74208019.71,106.3665591,67.73315865,18.01408819,20.61931228,
East_Africa,1995,3259947.331,383894315.3,256984013.3,61076697.6,65833604.46,117.760895,78.83072552,18.735486,20.19468346,
East_Africa,1996,3484140.784,402521342.1,272650490.9,60542211.49,69328639.7,115.5295859,78.25472844,17.37651124,19.89834625,
East_Africa,1997,3558965.396,398247330.9,264642008.0,61154460.7,72450862.23,111.899748,74.35925291,17.18321307,20.35728201,
East_Africa,1998,3476114.331,429095605.7,293580466.8,61573842.88,73941296.08,123.4411659,84.45650483,17.71341131,21.27124975,
East_Africa,1999,3582019.839,404336188.4,267271319.5,62295163.63,74769705.35,112.8793828,74.61469548,17.39107164,20.87361564,
East_Africa,2000,3551492.335,432703883.9,296802483.6,59148722.72,76752677.56,121.8372006,83.57120208,16.65461083,21.61138764,
East_Africa,2001,3739383.794,458238470.2,320352461.7,61091666.86,76794341.62,122.5438456,85.66985347,16.33736204,20.53663006,
East_Africa,2002,3526673.07,460690764.2,324783576.9,60347486.67,75559700.66,130.6304143,92.09347463,17.11173264,21.42520703,
East_Africa,2003,3886601.932,549144942.3,390329075.1,68345269.88,90470597.36,141.2917896,100.4293936,17.58483917,23.27755683,
East_Africa,2004,3525063.008,573983723.4,421360056.7,67272926.65,85350739.97,162.8293514,119.5326313,19.08417708,24.21254309,
East_Africa,2005,3888651.474,578671490.3,411589707.9,73023516.4,94058265.93,148.8103252,105.8438152,18.77862207,24.1878879,
East_Africa,2006,4216001.245,530084011.9,363069443.2,74597445.16,92417123.58,125.7314648,86.11701517,17.69388594,21.92056364,
East_Africa,2007,3820166.509,493618368.2,330223908.5,79122885.06,84271574.58,129.2138358,86.44228145,20.71189433,22.05966007,
East_Africa,2008,4232481.911,568988800.5,372256548.5,95985397.98,100746854.0,134.4338411,87.95230703,22.67827719,23.80325684,
East_Africa,2009,4716279.911,494876558.4,325054389.5,83279134.99,86543033.88,104.9294291,68.92177641,17.65780161,18.34985105,
East_Africa,2010,5082849.519,506507207.2,331657001.4,86494966.04,88355239.76,99.65024646,65.25021058,17.01702278,17.3830131,
East_Africa,2011,5173578.929,526707733.4,346768501.5,87950080.54,91989151.36,101.8072287,67.02681186,16.99985286,17.78056402,
