region,EDH35_lable,n,prop
East Africa,,29,0.805555555555556
East Africa,PFR_L,0,0
East Africa,PFR_M,2,0.0555555555555556
East Africa,PFR_H,0,0
East Africa,GFR_L,3,0.0833333333333333
East Africa,GFR_M,2,0.0555555555555556
East Africa,GFR_H,0,0
Europe,,18,0.321428571428571
Europe,PFR_L,5,0.0892857142857143
Europe,PFR_M,6,0.107142857142857
Europe,PFR_H,3,0.0535714285714286
Europe,GFR_L,8,0.142857142857143
Europe,GFR_M,7,0.125
Europe,GFR_H,9,0.160714285714286
North America_Irrigated,,9,0.126760563380282
North America_Irrigated,PFR_L,6,0.0845070422535211
North America_Irrigated,PFR_M,9,0.126760563380282
North America_Irrigated,PFR_H,4,0.0563380281690141
North America_Irrigated,GFR_L,5,0.0704225352112676
North America_Irrigated,GFR_M,17,0.23943661971831
North America_Irrigated,GFR_H,21,0.295774647887324
North America_Rainfed,,105,0.589887640449438
North America_Rainfed,PFR_L,18,0.101123595505618
North America_Rainfed,PFR_M,3,0.0168539325842697
North America_Rainfed,PFR_H,2,0.0112359550561798
North America_Rainfed,GFR_L,24,0.134831460674157
North America_Rainfed,GFR_M,21,0.117977528089888
North America_Rainfed,GFR_H,5,0.0280898876404494
North China Plain,,23,0.163120567375887
North China Plain,PFR_L,24,0.170212765957447
North China Plain,PFR_M,61,0.432624113475177
North China Plain,PFR_H,30,0.212765957446809
North China Plain,GFR_L,1,0.00709219858156028
North China Plain,GFR_M,0,0
North China Plain,GFR_H,2,0.0141843971631206
Northeast China,,57,0.662790697674419
Northeast China,PFR_L,18,0.209302325581395
Northeast China,PFR_M,5,0.0581395348837209
Northeast China,PFR_H,0,0
Northeast China,GFR_L,3,0.0348837209302326
Northeast China,GFR_M,3,0.0348837209302326
Northeast China,GFR_H,0,0
Northwest China,,61,0.458646616541353
Northwest China,PFR_L,16,0.120300751879699
Northwest China,PFR_M,17,0.12781954887218
Northwest China,PFR_H,15,0.112781954887218
Northwest China,GFR_L,9,0.0676691729323308
Northwest China,GFR_M,8,0.0601503759398496
Northwest China,GFR_H,7,0.0526315789473684
South America,,21,0.42
South America,PFR_L,8,0.16
South America,PFR_M,6,0.12
South America,PFR_H,0,0
South America,GFR_L,9,0.18
South America,GFR_M,6,0.12
South America,GFR_H,0,0
South Asia,,7,0.145833333333333
South Asia,PFR_L,5,0.104166666666667
South Asia,PFR_M,5,0.104166666666667
South Asia,PFR_H,15,0.3125
South Asia,GFR_L,0,0
South Asia,GFR_M,6,0.125
South Asia,GFR_H,10,0.208333333333333
Southwest China,,1,0.0357142857142857
Southwest China,PFR_L,3,0.107142857142857
Southwest China,PFR_M,1,0.0357142857142857
Southwest China,PFR_H,2,0.0714285714285714
Southwest China,GFR_L,4,0.142857142857143
Southwest China,GFR_M,11,0.392857142857143
Southwest China,GFR_H,6,0.214285714285714
West Africa,,4,0.363636363636364
West Africa,PFR_L,2,0.181818181818182
West Africa,PFR_M,0,0
West Africa,PFR_H,0,0
West Africa,GFR_L,0,0
West Africa,GFR_M,0,0
West Africa,GFR_H,5,0.454545454545455
