env_ID,reference_ID,continent,country,region,site_year_ID,EDH35_total,Label_of_control_treatment,Label_of_N_addition_treatment,N_rate,region_N_label,N_rate_cluster,mean_c,sd_c,n_c,mean_t,sd_t,n_t,lnRR,Effect,AEN,Nc,q05,q95,keep
2005_04_10_42.08_0.65,1,Europe,Spain,Europe,1,0.71792,N0,N300,300,RN,300_400,5.5,,4,13.35,,4,0.886768293,142.7272727,26.16666667,118.899326977005,0.096776351,1.1064629539,True
2006_04_12_42.08_0.65,1,Europe,Spain,Europe,2,1.7286,N0,N300,300,RN,300_400,6.28,,4,13.25,,4,0.746627572,110.9872611,23.23333333,118.899326977005,0.07061749765,1.28912060785,True
2007_04_13_42.08_0.65,1,Europe,Spain,Europe,3,3.33839,N0,N300,300,RN,300_400,6.33,,4,13.562,,4,0.761971528,114.2496051,24.10666667,118.899326977005,0.07061749765,1.28912060785,True
2010_04_09_42.08_0.65,1,Europe,Spain,Europe,4,0,N0,N300,300,RN,300_400,3.93,,4,12.85,,4,1.184704385,226.9720102,29.73333333,118.899326977005,0.1249129257,1.25624785795,True
2011_04_11_42.08_0.65,1,Europe,Spain,Europe,5,2.20574,N0,N300,300,RN,300_400,5.21,,4,15.6218,,4,1.098087519,199.8426104,34.706,118.899326977005,0.07061749765,1.28912060785,True
2012_04_10_42.08_0.65,1,Europe,Spain,Europe,6,13.18808,N0,N300,300,RN,300_400,6.34,,4,14.0363,,4,0.794768063,121.3927445,25.65433333,118.899326977005,0.07061749765,1.28912060785,True
2013_04_09_42.08_0.65,1,Europe,Spain,Europe,7,0,N0,N300,300,RN,300_400,5.73,,4,15.1688,,4,0.973525156,164.7260035,31.46266667,118.899326977005,0.1249129257,1.25624785795,True
2015_04_09_42.08_0.65,1,Europe,Spain,Europe,9,11.68206,N0,N300,300,RN,300_400,5.79,,4,16.7671,,4,1.063286341,189.5872193,36.59033333,118.899326977005,0.096776351,1.1064629539,True
1996_11_20_13_12,2,Africa,Niger,West Africa,10,6.50968,N0,N40,40,RN,0_100,2.377,,5,3.288,,5,0.324440289,38.32562053,22.775,-141.100673022995,0.096776351,1.1064629539,True
1996_11_20_13_12,2,Africa,Niger,West Africa,10,6.50968,N0,N80,80,RN,0_100,2.377,,5,3.67,,5,0.434352474,54.39629785,16.1625,-101.100673022995,0.096776351,1.1064629539,True
1997_11_22_13_12,2,Africa,Niger,West Africa,11,302.08164,N0,N40,40,RN,0_100,1.207,,5,2.254,,5,0.624568474,86.74399337,26.175,-141.100673022995,0.07061749765,1.28912060785,True
1997_11_22_13_12,2,Africa,Niger,West Africa,11,302.08164,N0,N80,80,RN,0_100,1.207,,5,3.304,,5,1.006995914,173.7365369,26.2125,-101.100673022995,0.07061749765,1.28912060785,True
2004_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,12,0,N0,N160,160,RN,100_200,8.03,,4,11.28,,4,0.339846718,40.4732254,20.3125,-21.100673022995,0.1249129257,1.25624785795,True
2004_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,12,0,N0,N240,240,RN,200_300,8.03,,4,11.44,,4,0.353931458,42.46575342,14.20833333,58.899326977005,0.1249129257,1.25624785795,True
2004_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,12,0,N0,N225,225,RN,200_300,9.4,,4,11.21,,4,0.176096548,19.25531915,8.044444444,43.899326977005,0.1249129257,1.25624785795,True
2004_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,12,0,N0,N225,225,RN,200_300,8.93,,4,11.7,,4,0.270172447,31.01903695,12.31111111,43.899326977005,0.1249129257,1.25624785795,True
2005_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,13,0,N0,N160,160,RN,100_200,9.05,,4,10.39,,4,0.138079047,14.80662983,8.375,-21.100673022995,0.1249129257,1.25624785795,True
2005_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,13,0,N0,N160,160,RN,100_200,7.75,,4,10.45,,4,0.298909135,34.83870968,16.875,-21.100673022995,0.1249129257,1.25624785795,True
2005_05_20_45.37__75.72,3,North America,Canada,North America_Rainfed,13,0,N0,N240,240,RN,200_300,7.75,,4,10.49,,4,0.302729579,35.35483871,11.41666667,58.899326977005,0.1249129257,1.25624785795,True
2001_05_15_33.38_48.6,5,Asia,Iran,South Asia,23,43.92833,N0,N72,72,RN,0_100,6.468,,3,9.888,,3,0.424454959,52.87569573,47.5,-109.100673022995,0.07061749765,1.28912060785,True
2001_05_15_33.38_48.6,5,Asia,Iran,South Asia,23,43.92833,N0,N108,108,RN,100_200,6.468,,3,10.434,,3,0.478202763,61.31725417,36.72222222,-73.100673022995,0.07061749765,1.28912060785,True
2001_05_15_33.38_48.6,5,Asia,Iran,South Asia,23,43.92833,N0,N144,144,RN,100_200,6.468,,3,10.99,,3,0.530118827,69.91341991,31.40277778,-37.100673022995,0.07061749765,1.28912060785,True
