continent,env_group,n,mean,sd,median,q25,q75,p05,p95
Africa,Normal,69,101.449275362319,33.7824076353899,100,80,120,36,150
Africa,PFR,5,75,40,70,45,80,41,128
Africa,GFR,14,90,43.5889894354067,90,45,130,43.25,150
Asia,Normal,259,179.388996138996,37.4664447360421,180,150,205,90,225
Asia,PFR,458,185.64192139738,43.6672199061354,182,180,216,90,240
Asia,GFR,204,158.897058823529,46.0413627611404,150,120,200,90,225
Europe,Normal,10,300,0,300,300,300,300,300
Europe,PFR,8,300.75,2.12132034355964,300,300,300,300,303.9
Europe,GFR,17,300,0,300,300,300,300,300
North America,Normal,254,204.413385826772,27.750269342295,201,179,224,168,252
North America,PFR,102,217.372549019608,31.3835807385458,213,202,233,168,280
North America,GFR,133,198.887218045113,29.7717717979628,201,168,224,168,250
South America,Normal,36,112.861111111111,22.2301632636865,112,90,125,87.5,150
South America,PFR,22,106.727272727273,24.6386877707587,100,90,100,90,150
South America,GFR,10,129,21.1081869319834,138,120,138,98,150.1
