col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11
"model: AEN ~ env_group * continent + ns(N_rate, df = 3), random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,
(Intercept),1,3285,1664.031,<.0001,,,,,,
env_group,2,3285,20.4813,<.0001,,,,,,
continent,4,282,12.0859,<.0001,,,,,,
"ns(Nc, df = 4)",4,3285,601.4894,<.0001,,,,,,
env_group:continent,8,3285,1.4226,0.1815,,,,,,
env_group,continent,emmean,SE,df,lower.CL,upper.CL,k,n_ref,n_sy,n_lab
Normal,Africa,12.5191205777617,2.72111969774754,286,7.16315902997415,17.8750821255492,116,8,28,n=116
PFR,Africa,12.3294590410598,4.71017745573167,286,3.05844852394181,21.6004695581778,23,4,4,n=23
GFR,Africa,13.4158739234651,3.42322366847484,286,6.67796586561516,20.153781981315,44,5,10,n=44
Normal,Asia,20.2131650505913,0.976144575305615,282,18.2917104519502,22.1346196492323,619,73,146,n=619
PFR,Asia,16.1287265495682,0.814283072828684,282,14.5258820586357,17.7315710405007,1000,108,228,n=1000
GFR,Asia,17.6794880872447,1.20940854511703,282,15.2988739144687,20.0601022600206,433,49,79,n=433
Normal,Europe,24.185632861499,2.80504860451261,282,18.6641418068927,29.7071239161054,64,8,18,n=64
PFR,Europe,26.1197797283971,2.87131478758289,282,20.4678495304344,31.7717099263597,43,9,14,n=43
GFR,Europe,25.5343784122214,2.42545483919672,282,20.7600842426188,30.3086725818239,98,12,25,n=98
Normal,North America,24.605985353489,1.18378597855832,282,22.2758069456486,26.9361637613294,697,39,131,n=697
PFR,North America,21.932079723186,1.56368490833988,282,18.854103740976,25.0100557053961,319,25,46,n=319
GFR,North America,21.1283530799692,1.28885542537333,282,18.5913547226391,23.6653514372993,551,32,97,n=551
Normal,South America,26.5645097219456,2.15198921280259,282,22.3285085457152,30.800510898176,80,17,24,n=80
PFR,South America,17.0154689100941,2.4700002135916,282,12.1534910954204,21.8774467247678,55,10,14,n=55
GFR,South America,18.4311603605826,3.15508464299914,282,12.2206542022152,24.64166651895,28,6,13,n=28
contrast,g1,g2,continent,estimate,SE,df,t.ratio,p.value,p_lab,
Normal - PFR,Normal,PFR,Africa,0.189661536701834,5.18093441222181,3289,0.0366075926872231,0.999261430548969,0.999,
Normal - GFR,Normal,GFR,Africa,-0.89675334570344,3.43350418716815,3289,-0.261177297833167,0.963095918560597,0.963,
PFR - GFR,PFR,GFR,Africa,-1.08641488240527,5.02354581854523,3289,-0.216264551304498,0.974546447805637,0.975,
Normal - PFR,Normal,PFR,Asia,4.08443850102305,1.1200319266809,3289,3.64671613703627,0.000787995072357162,<0.001,
Normal - GFR,Normal,GFR,Asia,2.53367696334659,1.45863904648437,3289,1.73701435557569,0.191579617692805,0.192,
PFR - GFR,PFR,GFR,Asia,-1.55076153767646,1.32031071525696,3289,-1.17454287067166,0.468493983703113,0.468,
Normal - PFR,Normal,PFR,Europe,-1.93414686689805,3.33792148016529,581,-0.579446484403903,0.831168135437376,0.831,
Normal - GFR,Normal,GFR,Europe,-1.34874555072234,2.90341316351721,581,-0.464537933377854,0.887900421814936,0.888,
PFR - GFR,PFR,GFR,Europe,0.585401316175708,2.7030312696682,581,0.216572158355965,0.974475858329096,0.974,
Normal - PFR,Normal,PFR,North America,2.67390563030294,1.60409638648598,581,1.66692329265858,0.218865668483924,0.219,
Normal - GFR,Normal,GFR,North America,3.47763227351978,1.31918162974855,581,2.63620429143078,0.0233695589597986,0.023,
PFR - GFR,PFR,GFR,North America,0.80372664321684,1.65792454596088,581,0.48477878271054,0.878556683813613,0.879,
Normal - PFR,Normal,PFR,South America,9.5490408118515,2.49322819842358,3289,3.82999069956339,0.000383723704620031,<0.001,
Normal - GFR,Normal,GFR,South America,8.13334936136303,3.47137044637952,3289,2.34297937572342,0.0502259690771307,0.05,
PFR - GFR,PFR,GFR,South America,-1.41569145048847,3.22776313187035,3289,-0.438598308689441,0.899413994187393,0.899,
