env_ID,country,EDH35_total,Label_of_control_treatment,Label_of_N_addition_treatment,N_rate,region_N_label,mean_c,sd_c,n_c,mean_t,sd_t,n_t,lnRR,Effect,AEN,env_group,Nc,q05,q95,keep
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,4.44444,,6,7.73946,,6,0.554678041,74.13802414,14.97736364,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,6.13027,,6,9.1954,,6,0.405464564,49.99991844,13.93240909,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,5.90038,,6,9.34866,,6,0.460216262,58.44165969,15.674,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,6.55172,,6,10.0383,,6,0.426680167,53.21625466,15.84809091,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.16475,,6,12.3755,,6,0.546545543,72.72758994,23.68522727,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.39464,,6,13.2184,,6,0.580854385,78.75650471,26.47163636,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.50958,,6,14.2529,,6,0.640780856,89.79623361,30.65145455,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,4.44444,,6,10.0383,,6,0.8147539,125.8619759,25.42663636,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,6.13027,,6,9.65517,,6,0.454254729,57.49991436,16.02227273,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,5.90038,,6,10.8812,,6,0.612019774,84.41524105,22.64009091,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,6.55172,,6,11.5326,,6,0.565450197,76.02400591,22.64036364,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.16475,,6,13.295,,6,0.618214856,85.56125475,27.86477273,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.39464,,6,14.7893,,6,0.693148533,100.0002705,33.61209091,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.50958,,6,15.7088,,6,0.738041526,109.1834696,37.26918182,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,4.44444,,6,7.96935,,6,0.583949057,79.31055431,16.02231818,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,6.13027,,6,9.1954,,6,0.405464564,49.99991844,13.93240909,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,5.90038,,6,9.88506,,6,0.516007771,67.5325996,18.11218182,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,6.55172,,6,11.0345,,6,0.521299118,68.42142216,20.37627273,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.16475,,6,12.7969,,6,0.580029785,78.60916292,25.60068182,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.39464,,6,13.3716,,6,0.592377641,80.82827562,27.168,Normal,38.899326977005,0.1249129257,1.25624785795,True
2016_05_20_40.47__86.99,USA,0,N0,N220,220,RN,7.50958,,6,15.977,,6,0.754970649,112.7549077,38.48827273,Normal,38.899326977005,0.1249129257,1.25624785795,True
