public_file,source_data_sheet,source_data_block_label,rows,columns,source
Figure4_data_set.csv,Figure 4,Figure 4 Selected Data set,1066,19,Source Data block
Figure4a_lnrr_china_usa_model_results.csv,Figure 4,Figure 4a_China+USA,27,16,Source Data block
Figure4b_aen_china_usa_model_results.csv,Figure 4,Figure4b_China+USA,27,16,Source Data block
Figure4g_yield_china_usa_wilcoxon_tests.csv,Figure 4,Figure4g_China+USA,20,10,Source Data block
Figure4c_lnrr_china_model_results.csv,Figure 4,Figure4c_China,27,16,Source Data block
Figure4d_aen_china_model_results.csv,Figure 4,Figure4d_China,27,15,Source Data block
Figure4h_yield_china_wilcoxon_tests.csv,Figure 4,Figure4h_China,20,11,Source Data block
Figure4e_lnrr_usa_model_results.csv,Figure 4,Figure4e_USA,27,16,Source Data block
Figure4f_aen_usa_model_results.csv,Figure 4,Figure4f_USA,27,16,Source Data block
Figure4i_yield_usa_wilcoxon_tests.csv,Figure 4,Figure4i_USA,20,9,Source Data block
