".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"value","RCP_Normal","RCP_PFR",-2.05982101171443,-3.39734601584768,-0.722296007581169,0.000307,"***"
"value","RCP_Normal","WAP1_PFR",-1.34177884329281,-2.55017743451674,-0.133380252068886,0.02,"*"
"value","RCP_Normal","WAP1P_PFR",-1.03634065303261,-2.46376458262274,0.391083276557521,0.289,"ns"
"value","RCP_Normal","WAP2_PFR",-0.158732999548041,-1.29517564772527,0.97770964862919,0.998,"ns"
"value","RCP_Normal","WAP2P_PFR",-1.18038713741722,-2.38096123659176,0.020186961757316,0.057,"ns"
"value","RCP_PFR","WAP1_PFR",0.718042168421613,-0.453914967464782,1.88999930430801,0.482,"ns"
"value","RCP_PFR","WAP1P_PFR",1.02348035868182,-0.374138536483459,2.42109925384709,0.279,"ns"
"value","RCP_PFR","WAP2_PFR",1.90108801216638,0.803600854137983,2.99857517019479,3.9e-05,"****"
"value","RCP_PFR","WAP2P_PFR",0.879433874297202,-0.284425068352302,2.04329281694671,0.249,"ns"
"value","WAP1_PFR","WAP1P_PFR",0.305438190260205,-0.970736716453007,1.58161309697342,0.982,"ns"
"value","WAP1_PFR","WAP2_PFR",1.18304584374477,0.258186578397111,2.10790510909243,0.004,"**"
"value","WAP1_PFR","WAP2P_PFR",0.161391705875589,-0.843864474401856,1.16664788615303,0.997,"ns"
"value","WAP1P_PFR","WAP2_PFR",0.877607653484567,-0.331247170689005,2.08646247765814,0.286,"ns"
"value","WAP1P_PFR","WAP2P_PFR",-0.144046484384615,-1.41289323069362,1.12480026192439,0.999,"ns"
"value","WAP2_PFR","WAP2P_PFR",-1.02165413786918,-1.93570699551944,-0.107601280218926,0.019,"*"
