col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08
games_howell_test,,,,,,,
group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif,
RCP_Normal,RCP_PFR,-2.05982101171443,-3.39734601584768,-0.722296007581169,0.000307,***,
RCP_Normal,WAP1_PFR,-1.34177884329281,-2.55017743451674,-0.133380252068886,0.02,*,
RCP_Normal,WAP1P_PFR,-1.03634065303261,-2.46376458262274,0.391083276557521,0.289,ns,
RCP_Normal,WAP2_PFR,-0.158732999548041,-1.29517564772527,0.97770964862919,0.998,ns,
RCP_Normal,WAP2P_PFR,-1.18038713741722,-2.38096123659176,0.020186961757316,0.057,ns,
RCP_PFR,WAP1_PFR,0.718042168421613,-0.453914967464782,1.88999930430801,0.482,ns,
RCP_PFR,WAP1P_PFR,1.02348035868182,-0.374138536483459,2.42109925384709,0.279,ns,
RCP_PFR,WAP2_PFR,1.90108801216638,0.803600854137983,2.99857517019479,3.9e-05,****,
RCP_PFR,WAP2P_PFR,0.879433874297202,-0.284425068352302,2.04329281694671,0.249,ns,
WAP1_PFR,WAP1P_PFR,0.305438190260205,-0.970736716453007,1.58161309697342,0.982,ns,
WAP1_PFR,WAP2_PFR,1.18304584374477,0.258186578397111,2.10790510909243,0.004,**,
WAP1_PFR,WAP2P_PFR,0.161391705875589,-0.843864474401856,1.16664788615303,0.997,ns,
WAP1P_PFR,WAP2_PFR,0.877607653484567,-0.331247170689005,2.08646247765814,0.286,ns,
WAP1P_PFR,WAP2P_PFR,-0.144046484384615,-1.41289323069362,1.12480026192439,0.999,ns,
WAP2_PFR,WAP2P_PFR,-1.02165413786918,-1.93570699551944,-0.107601280218926,0.019,*,
Figure4b,,,,,,,
dunn_test,,,,,,,
group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
RCP_Normal,RCP_PFR,46,44,-4.02378834734846,5.72693893991054e-05,0.000429520420493291,***
RCP_Normal,WAP1_PFR,46,98,-2.96257125082678,0.00305081192046909,0.00762702980117273,**
RCP_Normal,WAP1P_PFR,46,44,-2.39085879399338,0.0168090162842271,0.0315169055329258,*
RCP_Normal,WAP2_PFR,46,81,-0.0388329601154293,0.969023566273325,0.989817355869223,ns
RCP_Normal,WAP2P_PFR,46,104,-2.9801070303132,0.00288147684912427,0.00762702980117273,**
RCP_PFR,WAP1_PFR,44,98,1.75791162609514,0.0787625473309665,0.11814382099645,ns
RCP_PFR,WAP1P_PFR,44,44,1.61508279286987,0.106292766737382,0.144944681914612,ns
RCP_PFR,WAP2_PFR,44,81,4.49241448191,7.04201995006927e-06,0.000105630299251039,***
RCP_PFR,WAP2P_PFR,44,104,1.78382869757419,0.0744515048859872,0.11814382099645,ns
WAP1_PFR,WAP1P_PFR,98,44,0.139574694539859,0.888996035707321,0.989817355869223,ns
WAP1_PFR,WAP2_PFR,98,81,3.47829610709357,0.000504612165205685,0.00189229561952132,**
WAP1_PFR,WAP2P_PFR,98,104,0.0127623982899321,0.989817355869223,0.989817355869223,ns
WAP1P_PFR,WAP2_PFR,44,81,2.65377199723269,0.00795975904485886,0.0170566265246976,*
WAP1P_PFR,WAP2P_PFR,44,104,-0.130848653319003,0.895895034047139,0.989817355869223,ns
WAP2_PFR,WAP2P_PFR,81,104,-3.51248393259257,0.000443938846159702,0.00189229561952132,**
group,mean,sd,ymin,ymax,,,
RCP_Normal,12.0614421247826,2.25438006972356,9.80706205505905,14.3158221945062,,,
RCP_PFR,10.0016211130682,2.10043111813199,7.90118999493619,12.1020522312002,,,
WAP1_PFR,10.7196632814898,2.46830429035943,8.25135899113037,13.1879675718492,,,
WAP1P_PFR,11.02510147175,2.38656677311079,8.63853469863921,13.4116682448608,,,
WAP2_PFR,11.9027091252346,1.81887099990399,10.0838381253306,13.7215801251386,,,
WAP2P_PFR,10.8810549873654,2.49522678317026,8.38582820419513,13.3762817705356,,,
group,letter,,,,,,
RCP_Normal,a,,,,,,
RCP_PFR,b,,,,,,
WAP1_PFR,b,,,,,,
WAP1P_PFR,b,,,,,,
WAP2_PFR,a,,,,,,
WAP2P_PFR,b,,,,,,
