RCP_Normal,RCP_PFR,RCP_GFR,WAP1_PFR,WAP1P_PFR,WAP2_PFR,WAP2P_PFR,WAP1_GFR,WAP1P_GFR,WAP2_GFR,WAP2P_GFR
10.0383,11.21997333,13.15430667,11.13868,10.73650667,11.84255484,12.68381935,13.37886667,12.97650667,16.5828,14.334
9.65517,11.32170667,14.06477333,10.65036,10.24809333,11.95347097,12.02708387,11.56661333,14.0154,12.193,15.375
10.8812,8.620602667,10.70486667,11.03676,11.55121333,12.02654194,12.03593548,14.04424,14.24304,16.65,14.884
11.5326,8.974158667,11.2476,11.05757333,10.14626667,8.055,13.62705806,13.20918667,12.89857333,10.708,16.584
13.295,6.91,3.8,8.315150667,8.009698667,7.62,13.30261935,11.29510667,12.51198667,11.315,15.538
14.7893,5.76,11.08333333,8.213333333,8.315150667,5.122616667,12.59087742,11.17265333,9.131285333,11.824,14.544
15.7088,6.37,10.97333333,8.749654667,8.337401333,9.645766667,12.80602581,11.22706667,12.13006667,11.255,13.43
10.2,11.75997667,11.08333333,8.932737333,8.418452,8.91553,12.52765161,9.794026667,10.79801333,12.0,14.026
10.5,12.1,12.17,13.36774194,13.03138065,10.7,12.52765161,9.45,14.2086,11.9,15.968
14.48,10.25305806,4.153333333,14.04046452,13.8535871,9.0,11.0,15.21,7.08455,10.6,16.07
14.0,9.944787097,4.96,12.39596129,12.01380645,14.988,8.851612903,15.52,10.102,10.4,14.787
11.5,8.987620645,6.43,13.36774194,12.23889032,12.385,12.0642,14.31,12.4636,10.6,15.014
11.6,9.194658065,7.125,11.68584516,13.59634839,12.9626,10.9091,14.83,16.14073548,10.4,11.377
14.9,9.98723871,6.333333333,13.14347097,14.15508387,12.7059,11.2086,5.973333333,15.55978065,10.1,12.247
11.5,9.142722581,7.32,13.25565161,6.84932,11.7647,11.2941,3.92,9.6,14.8,12.523
16.7,11.88807742,7.816666667,14.33952258,15.5048,11.3369,11.9803,8.026666667,9.7668,14.7,12.459
15.3,10.98656774,12.56,9.463548387,13.6416,12.412,10.3821,13.63217333,6.6805,14.0,12.688
11.47096774,10.0287871,12.48,11.18870968,14.09538667,12.3581,11.8031,6.76744186,9.72,12.9,14.722
13.00645161,11.07110968,11.32,11.11374194,13.62529778,12.5349,12.1782,6.860465116,10.1,12.7,12.789
12.28387097,12.16979355,11.7,11.71384516,14.09538667,11.6661,9.122580645,6.941860465,12.54,14.09420645,14.842
11.92258065,10.56403871,11.83,10.97572903,11.05482,11.937,11.33,7.337209302,12.98,10.3,12.436
15.71612903,14.8,12.42,11.23739355,10.632,12.403,10.968,5.76744186,,9.6,14.996
15.80645161,12.2,11.34,11.53636129,11.652,11.72,12.336,5.627906977,,7.5,14.469
15.26451613,7.406451613,11.72,12.02220645,11.227,11.825,11.728,6.465116279,,10.1,17.467
